,,,,,,,,,Federal Housing FiN/A,,,,
,,,,,,,,,www.fhfa.gov,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"TABLE 18:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT HOMES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,Adjustable-,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,Rate,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,Loans,,,,
,,(%),Charges,(%),,($000),,(%),(%),,,,
,,,(%),,,,,,,,,,
,,,,,,,,,,,,,
1973,01,7.53,1.01,7.69,25.3,26.2,35.1,75.9,N/A*,,,,
1973,02,7.52,1.15,7.70,26.8,27.6,35.9,78.6,N/A*,,,,
1973,03,7.51,1.11,7.69,26.7,27.8,36.3,78.1,N/A*,,,,
1973,04,7.55,1.09,7.72,25.8,26.9,35.2,77.8,N/A*,,,,
1973,05,7.55,1.09,7.72,25.8,26.9,35.2,77.8,N/A*,,,,
1973,06,7.61,1.14,7.79,26.4,27.7,36.4,77.9,N/A*,,,,
1973,07,7.68,1.08,7.85,26.2,27.9,36.8,77.2,N/A*,,,,
1973,08,7.76,1.09,7.93,26.8,29.1,38.8,76.6,N/A*,,,,
1973,09,7.99,1.18,8.17,26.6,28.3,37.8,76.9,N/A*,,,,
1973,10,8.14,1.23,8.34,26.1,28.2,37.7,76.5,N/A*,,,,
1973,11,8.21,1.13,8.40,25.8,28.9,39.1,75.4,N/A*,,,,
1973,12,8.28,1.13,8.47,25.8,28.0,37.7,75.8,N/A*,,,,
1974,01,8.34,1.25,8.54,26.4,29.1,38.7,76.9,N/A*,,,,
1974,02,8.39,1.38,8.61,26.2,28.6,38.1,76.5,N/A*,,,,
1974,03,8.42,1.35,8.64,26.3,29.3,38.9,77.2,N/A*,,,,
1974,04,8.45,1.25,8.65,26.3,29.2,38.5,77.3,N/A*,,,,
1974,05,8.55,1.24,8.75,25.9,29.0,38.2,76.9,N/A*,,,,
1974,06,8.66,1.28,8.87,26.3,29.7,39.3,76.4,N/A*,,,,
1974,07,8.72,1.26,8.93,26.4,29.8,40.8,74.3,N/A*,,,,
1974,08,8.88,1.32,9.10,26.2,29.4,40.2,75.0,N/A*,,,,
1974,09,8.96,1.42,9.20,26.1,31.4,43.1,74.6,N/A*,,,,
1974,10,8.96,1.46,9.20,26.8,31.1,42.8,74.8,N/A*,,,,
1974,11,9.06,1.47,9.31,26.7,30.8,41.7,74.6,N/A*,,,,
1974,12,9.18,1.39,9.41,27.7,31.6,42.5,76.2,N/A*,,,,
1975,01,9.08,1.54,9.34,26.6,31.5,43.0,73.9,N/A*,,,,
1975,02,8.92,1.48,9.16,26.8,33.0,44.5,76.4,N/A*,,,,
1975,03,8.82,1.58,9.07,26.1,33.3,46.1,74.0,N/A*,,,,
1975,04,8.69,1.57,8.94,26.8,34.2,45.7,76.2,N/A*,,,,
1975,05,8.65,1.63,8.91,27.1,32.3,43.7,75.7,N/A*,,,,
1975,06,8.74,1.36,8.96,26.6,32.1,42.7,76.3,N/A*,,,,
1975,07,8.68,1.39,8.90,26.2,33.0,44.1,75.9,N/A*,,,,
1975,08,8.64,1.58,8.90,26.9,34.1,45.3,76.9,N/A*,,,,
1975,09,8.71,1.46,8.94,26.9,34.2,45.7,76.2,N/A*,,,,
1975,10,8.82,1.56,9.07,27.5,32.9,43.3,77.6,N/A*,,,,
1975,11,8.73,1.65,9.00,27.6,35.0,46.9,76.4,N/A*,,,,
1975,12,8.75,1.66,9.02,27.9,34.7,46.1,76.6,N/A*,,,,
1976,01,8.72,1.80,9.01,27.7,35.9,47.8,76.9,N/A*,,,,
1976,02,8.69,1.62,8.95,26.4,34.2,46.1,75.7,N/A*,,,,
1976,03,8.66,1.62,8.92,27.3,35.3,47.2,76.7,N/A*,,,,
1976,04,8.67,1.50,8.92,27.1,35.3,48.0,75.0,N/A*,,,,
1976,05,8.74,1.39,8.97,26.9,35.9,47.2,77.4,N/A*,,,,
1976,06,8.71,1.30,8.92,26.9,36.7,49.9,74.6,N/A*,,,,
1976,07,8.76,1.32,8.97,27.3,37.2,50.2,75.6,N/A*,,,,
1976,08,8.79,1.39,9.01,27.8,37.1,50.4,75.7,N/A*,,,,
1976,09,8.85,1.40,9.07,27.6,37.4,50.7,75.3,N/A*,,,,
1976,10,8.83,1.38,9.06,27.8,36.3,49.2,75.0,N/A*,,,,
1976,11,8.83,1.31,9.05,26.8,36.1,48.6,75.8,N/A*,,,,
1976,12,8.87,1.38,9.10,27.8,37.7,51.1,75.6,N/A*,,,,
1977,01,8.82,1.38,9.05,28.2,39.0,52.5,76.3,N/A*,,,,
1977,02,8.78,1.31,8.99,27.8,39.3,53.1,75.8,N/A*,,,,
1977,03,8.74,1.34,8.95,28.0,40.9,53.8,77.5,N/A*,,,,
1977,04,8.73,1.30,8.94,27.3,39.6,53.4,75.5,N/A*,,,,
1977,05,8.74,1.34,8.96,27.9,39.9,52.8,77.4,N/A*,,,,
1977,06,8.78,1.25,8.98,27.2,39.5,53.1,76.0,N/A*,,,,
1977,07,8.79,1.31,9.00,27.9,40.0,53.7,76.2,N/A*,,,,
1977,08,8.81,1.30,9.02,28.2,40.8,54.9,76.5,N/A*,,,,
1977,09,8.82,1.34,9.04,28.2,41.7,56.0,76.3,N/A*,,,,
1977,10,8.84,1.35,9.07,27.6,40.2,54.0,76.1,N/A*,,,,
1977,11,8.85,1.38,9.07,28.2,42.0,56.4,76.5,N/A*,,,,
1977,12,8.87,1.32,9.09,28.0,42.6,57.7,75.5,N/A*,,,,
1978,01,8.93,1.41,9.15,28.3,43.3,58.0,76.4,N/A*,,,,
1978,02,8.96,1.32,9.18,27.3,44.0,59.9,75.3,N/A*,,,,
1978,03,9.03,1.37,9.26,27.4,43.5,58.8,75.5,N/A*,,,,
1978,04,9.07,1.44,9.30,28.4,45.7,61.6,76.1,N/A*,,,,
1978,05,9.14,1.34,9.37,27.7,44.2,59.8,75.5,N/A*,,,,
1978,06,7.61,1.14,7.79,26.4,27.7,62.6,77.9,N/A*,,,,
1978,07,7.68,1.08,7.85,26.2,27.9,61.9,77.2,N/A*,,,,
1978,08,7.76,1.09,7.93,26.8,29.1,63.6,76.6,N/A*,,,,
1978,09,7.99,1.18,8.17,26.6,28.3,64.6,76.9,N/A*,,,,
1978,10,8.14,1.23,8.34,26.1,28.2,66.8,76.5,N/A*,,,,
1978,11,8.21,1.13,8.40,25.8,28.9,65.1,75.4,N/A*,,,,
1978,12,8.28,1.13,8.47,25.8,28.0,68.1,75.8,N/A*,,,,
1979,01,9.92,1.56,10.18,28.6,52.0,71.9,74.7,N/A*,,,,
1979,02,9.94,1.56,10.20,28.6,49.5,68.3,74.5,N/A*,,,,
1979,03,10.02,1.65,10.30,28.5,49.9,68.1,75.4,N/A*,,,,
1979,04,10.06,1.75,10.36,29.0,54.9,75.4,75.1,N/A*,,,,
1979,05,10.20,1.59,10.47,28.2,51.4,72.3,73.2,N/A*,,,,
1979,06,10.39,1.53,10.66,28.4,52.5,73.7,73.5,N/A*,,,,
1979,07,10.49,1.63,10.78,28.1,52.7,74.3,73.0,N/A*,,,,
1979,08,10.73,1.60,11.01,28.1,56.9,80.0,73.1,N/A*,,,,
1979,09,10.72,1.67,11.02,28.6,53.9,75.5,73.4,N/A*,,,,
1979,10,10.91,1.70,11.21,28.5,54.9,76.4,73.7,N/A*,,,,
1979,11,11.04,1.82,11.37,28.5,55.4,77.1,73.8,N/A*,,,,
1979,12,11.30,1.85,11.64,28.8,56.0,79.4,72.9,N/A*,,,,
1980,01,11.48,2.11,11.87,28.1,54.4,76.9,73.0,N/A*,,,,
1980,02,11.60,1.79,11.93,28.8,56.6,79.8,72.5,N/A*,,,,
1980,03,12.25,1.98,12.62,27.4,55.1,77.7,72.0,N/A*,,,,
1980,04,12.64,2.04,13.03,28.3,59.4,83.1,73.6,N/A*,,,,
1980,05,13.26,2.17,13.68,28.8,61.3,88.0,72.4,N/A*,,,,
1980,06,12.24,2.21,12.66,28.4,58.0,81.3,74.1,N/A*,,,,
1980,07,12.08,2.12,12.48,28.9,64.2,90.1,73.9,N/A*,,,,
1980,08,11.84,2.12,12.25,27.7,61.5,88.6,71.2,N/A*,,,,
1980,09,11.95,2.10,12.35,27.6,58.7,83.7,72.2,N/A*,,,,
1980,10,12.20,2.16,12.61,28.2,61.3,84.0,75.0,N/A*,,,,
1980,11,12.62,2.15,13.04,27.6,56.1,77.1,75.2,N/A*,,,,
1980,12,12.86,2.15,13.28,28.2,63.9,90.1,72.9,N/A*,,,,
1981,01,12.80,2.40,13.26,29.1,63.0,87.0,75.6,N/A*,,,,
1981,02,13.02,2.59,13.54,29.0,65.6,90.3,75.6,N/A*,,,,
1981,03,13.48,2.64,14.02,28.7,64.5,10.0,73.9,N/A*,,,,
1981,04,13.62,2.61,14.15,28.6,64.1,88.5,74.7,N/A*,,,,
1981,05,13.56,2.60,14.10,28.5,65.5,88.9,76.7,N/A*,,,,
1981,06,14.12,2.50,14.67,27.5,66.8,94.1,72.6,N/A*,,,,
1981,07,14.14,2.73,14.72,28.3,67.9,95.2,73.9,N/A*,,,,
1981,08,14.60,2.98,15.27,27.2,70.3,98.1,74.7,N/A*,,,,
1981,09,14.69,2.75,15.29,26.6,64.8,89.1,74.4,N/A*,,,,
1981,10,15.04,2.86,15.65,27.4,63.5,89.2,73.0,N/A*,,,,
1981,11,15.68,2.52,16.38,23.4,62.7,84.5,77.3,N/A*,,,,
1981,12,15.23,2.87,15.87,27.7,64.4,88.7,75.3,N/A*,,,,
1982,01,14.67,2.55,15.25,27.4,71.3,102.0,73.5,N/A*,,,,
1982,02,14.44,3.01,15.12,28.1,71.1,97.3,76.5,N/A*,,,,
1982,03,14.93,2.90,15.67,27.4,65.4,90.0,75.7,N/A*,,,,
1982,04,15.13,3.28,15.84,28.6,70.4,95.7,77.2,N/A*,,,,
1982,05,15.11,3.16,15.89,25.9,64.8,86.4,77.4,N/A*,,,,
1982,06,14.74,3.00,15.40,27.4,66.2,89.4,77.0,N/A*,,,,
