,,,,,,,,Federal Housing Finance Agency,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,
,,,,,,,,,,,,,,
"TABLE 20:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, ALL HOMES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,
,,,(%),,,,,,,,,,,
,,,,,,,,,,,,,,
1986,01,10.93,2.48,11.41,23.6,66.3,94.5,73.2,,,,,,
1986,02,10.82,2.29,11.24,23.6,67.0,96.0,73.2,,,,,,
1986,03,10.46,2.30,10.87,24.3,74.2,105.7,73.7,,,,,,
1986,04,10.16,2.22,10.56,24.0,73.1,104.4,73.2,,,,,,
1986,05,9.94,2.16,10.33,23.8,74.4,106.7,72.4,,,,,,
1986,06,9.98,2.25,10.38,24.5,75.1,108.1,72.6,,,,,,
1986,07,10.10,2.32,10.51,25.0,75.3,108.4,72.7,,,,,,
1986,08,10.17,2.31,10.58,25.0,73.8,106.0,72.7,,,,,,
1986,09,10.05,2.35,10.47,25.4,77.9,111.3,73.2,,,,,,
1986,10,9.96,2.42,10.39,25.4,77.6,109.1,73.8,,,,,,
1986,11,9.87,2.33,10.28,25.6,78.7,110.8,73.9,,,,,,
1986,12,9.72,2.31,10.13,25.9,80.2,113.4,73.9,,,,,,
1987,01,9.44,2.14,9.81,25.9,79.3,110.7,74.2,,,,,,
1987,02,9.17,1.99,9.50,26.3,83.6,116.1,74.6,,,,,,
1987,03,9.03,1.88,9.35,26.3,86.3,118.6,74.5,,,,,,
1987,04,9.00,1.94,9.32,26.0,88.3,121.8,74.3,,,,,,
1987,05,9.25,2.15,9.61,25.2,84.1,118.6,73.6,,,,,,
1987,06,9.60,2.32,10.00,25.4,83.3,116.6,74.1,,,,,,
1987,07,9.86,2.41,10.29,25.0,77.9,110.7,73.1,,,,,,
1987,08,9.89,2.26,10.30,24.5,77.8,110.5,73.4,,,,,,
1987,09,9.87,2.18,10.26,24.8,78.5,112.0,72.9,,,,,,
1987,10,10.01,2.43,10.45,25.3,77.2,109.3,74.0,,,,,,
1987,11,10.12,2.49,10.57,24.8,77.9,111.0,73.0,,,,,,
1987,12,10.01,2.38,10.43,25.7,77.2,108.6,74.4,,,,,,
1988,01,10.06,2.08,10.43,24.7,78.1,111.2,73.0,,,,,,
1988,02,9.88,2.04,10.24,26.6,81.0,114.3,74.6,,,,,,
1988,03,9.70,1.91,10.03,26.4,86.9,124.1,73.4,,,,,,
1988,04,9.79,1.88,10.12,26.2,86.2,121.6,73.9,,,,,,
1988,05,9.79,2.10,10.17,25.4,82.3,114.4,74.6,,,,,,
1988,06,9.99,2.04,10.35,26.0,84.5,118.2,74.5,,,,,,
1988,07,10.11,2.21,10.50,25.8,79.4,113.5,73.5,,,,,,
1988,08,10.17,2.15,10.56,26.0,82.4,117.6,73.4,,,,,,
1988,09,10.23,2.30,10.64,25.7,78.0,111.2,73.2,,,,,,
1988,10,10.33,1.99,10.69,25.9,80.6,115.5,73.0,,,,,,
1988,11,10.16,2.13,10.54,26.5,86.4,124.3,73.1,,,,,,
1988,12,10.19,1.91,10.53,26.6,85.1,119.1,74.2,,,,,,
1989,01,10.25,1.99,10.60,26.4,92.0,131.0,72.9,,,,,,
1989,02,10.38,2.37,10.80,26.0,82.4,116.6,73.1,,,,,,
1989,03,10.48,1.98,10.83,26.7,88.9,124.6,73.8,,,,,,
1989,04,10.60,1.85,10.93,26.9,93.2,130.9,73.9,,,,,,
1989,05,10.78,2.01,11.14,25.7,89.1,125.4,74.9,,,,,,
1989,06,10.69,1.92,11.03,27.0,90.2,124.6,74.2,,,,,,
1989,07,10.33,1.88,10.66,27.6,104.3,146.7,73.6,,,,,,
1989,08,9.99,1.84,10.30,28.0,104.8,142.9,75.0,,,,,,
1989,09,10.00,2.01,10.35,26.8,96.1,133.4,74.0,,,,,,
1989,10,10.05,1.85,10.37,26.7,95.0,133.2,73.2,,,,,,
1989,11,10.03,1.90,10.36,27.0,99.2,139.3,73.1,,,,,,
1989,12,9.88,1.81,10.20,27.2,102.9,144.5,73.5,,,,,,
1990,01,9.80,1.91,10.13,26.3,100.7,142.5,72.4,,,,,,
1990,02,9.87,1.95,10.21,26.5,105.0,144.8,74.7,,,,,,
1990,03,9.98,1.98,10.33,25.7,92.7,129.5,74.0,,,,,,
1990,04,10.16,2.14,10.54,25.5,102.4,142.4,74.6,,,,,,
1990,05,10.24,2.50,10.68,27.4,111.0,153.5,73.9,,,,,,
1990,06,10.21,2.19,10.60,25.9,102.0,138.9,75.5,,,,,,
1990,07,10.15,2.05,10.51,27.1,109.5,149.9,74.9,,,,,,
1990,08,10.01,2.17,10.38,26.8,113.8,156.6,74.4,,,,,,
1990,09,10.04,1.89,10.35,25.6,101.9,143.2,73.3,,,,,,
1990,10,10.04,1.98,10.38,25.9,95.1,136.0,72.6,,,,,,
1990,11,10.09,1.81,10.41,25.7,98.5,135.8,74.6,,,,,,
1990,12,9.95,2.03,10.30,27.7,97.9,136.8,73.8,,,,,,
1991,01,9.77,1.54,10.04,25.6,98.5,138.1,73.8,,,,,,
1991,02,9.70,1.57,9.97,25.3,101.3,145.0,73.1,,,,,,
1991,03,9.41,1.44,9.66,25.1,98.3,140.8,73.2,,,,,,
1991,04,9.43,1.75,9.73,25.8,103.1,145.5,72.9,,,,,,
1991,05,9.50,1.71,9.80,26.3,101.3,140.7,73.9,,,,,,
1991,06,9.49,1.63,9.76,26.5,102.9,143.7,74.0,,,,,,
1991,07,9.48,1.81,9.80,25.8,103.9,144.8,74.4,,,,,,
1991,08,9.50,1.67,9.78,26.3,98.6,137.8,73.9,,,,,,
1991,09,9.32,1.56,9.58,26.1,100.7,141.4,73.9,,,,,,
1991,10,9.15,1.50,9.40,25.4,102.1,144.4,73.2,,,,,,
1991,11,8.77,1.60,9.05,25.2,95.7,133.1,75.2,,,,,,
1991,12,8.53,1.56,8.80,25.4,100.1,136.7,75.5,,,,,,
1992,01,8.30,1.34,8.59,25.1,112.3,158.0,73.7,,,,,,
1992,02,8.40,1.63,8.71,24.4,101.1,142.2,74.1,,,,,,
1992,03,8.57,1.73,8.88,24.3,103.9,140.1,76.3,,,,,,
1992,04,8.64,1.77,8.95,25.1,103.1,136.3,78.2,,,,,,
1992,05,8.60,1.66,8.89,25.7,107.2,141.7,78.3,,,,,,
1992,06,8.46,1.71,8.77,24.7,105.7,139.9,77.7,,,,,,
1992,07,8.16,1.47,8.43,24.4,104.5,141.7,76.5,,,,,,
1992,08,7.96,1.84,8.29,24.0,105.9,141.7,77.2,,,,,,
1992,09,7.83,1.57,8.10,24.3,101.5,138.3,76.3,,,,,,
1992,10,7.82,1.41,8.07,23.9,107.1,147.9,75.2,,,,,,
1992,11,7.96,1.62,8.25,23.7,100.4,138.1,75.6,,,,,,
1992,12,8.06,1.52,8.34,23.8,101.3,135.1,77.9,,,,,,
1993,01,7.97,1.55,8.26,23.8,97.0,129.9,77.6,,,,,,
1993,02,7.77,1.38,8.01,24.0,103.3,143.3,75.7,,,,,,
1993,03,7.56,1.37,7.80,24.5,100.6,135.1,77.0,,,,,,
1993,04,7.48,1.23,7.69,23.9,102.2,139.0,76.4,,,,,,
1993,05,7.42,1.30,7.64,24.2,98.5,129.0,78.2,,,,,,
1993,06,7.43,1.32,7.65,24.1,101.8,136.7,77.9,,,,,,
1993,07,7.25,1.17,7.45,25.2,104.3,138.4,78.0,,,,,,
1993,08,7.12,1.07,7.30,24.9,103.2,139.0,76.9,,,,,,
1993,09,7.01,1.08,7.19,24.9,101.1,134.7,77.7,,,,,,
1993,10,6.87,1.02,7.04,25.0,104.1,140.1,76.7,,,,,,
1993,11,6.91,1.11,7.10,25.4,102.5,139.0,76.9,,,,,,
1993,12,7.12,1.19,7.31,25.7,101.6,134.3,78.5,,,,,,
1994,01,7.13,1.12,7.32,25.7,99.0,133.1,77.1,,,,,,
1994,02,7.06,0.97,7.22,25.3,101.9,136.9,77.8,,,,,,
1994,03,7.26,1.08,7.43,26.0,100.8,131.1,79.8,,,,,,
1994,04,7.61,1.08,7.80,25.7,102.1,132.2,79.5,,,,,,
1994,05,8.06,1.28,8.28,25.2,94.6,122.1,80.2,,,,,,
1994,06,8.24,1.14,8.43,25.9,96.4,125.2,80.3,,,,,,
1994,07,8.31,1.24,8.53,25.8,95.0,122.5,80.4,,,,,,
1994,08,8.41,1.07,8.60,26.5,92.7,120.0,81.2,,,,,,
1994,09,8.44,1.14,8.64,25.9,92.9,120.6,80.1,,,,,,
1994,10,8.57,1.09,8.76,26.1,91.9,119.2,80.1,,,,,,
1994,11,8.74,1.15,8.94,26.0,94.3,123.1,80.1,,,,,,
1994,12,8.82,1.36,9.06,25.6,82.6,107.6,80.9,,,,,,
1995,01,9.02,1.33,9.25,25.9,88.3,116.5,79.4,,,,,,
1995,02,8.96,1.34,9.19,26.5,92.9,119.8,80.3,,,,,,
1995,03,8.79,1.03,8.96,27.0,91.6,118.1,80.5,,,,,,
1995,04,8.57,1.05,8.75,26.8,95.0,121.3,80.8,,,,,,
1995,05,8.28,1.15,8.47,26.5,95.0,123.7,79.8,,,,,,
1995,06,7.85,0.96,8.02,26.4,99.7,130.9,79.7,,,,,,
1995,07,7.72,0.98,7.88,26.5,102.1,132.4,80.0,,,,,,
1995,08,7.84,0.98,8.00,26.3,100.5,131.5,79.2,,,,,,
1995,09,7.78,0.95,7.93,26.7,101.5,134.1,78.9,,,,,,
1995,10,7.70,0.98,7.86,26.5,103.4,135.9,78.9,,,,,,
1995,11,7.60,0.88,7.74,26.5,104.6,137.8,78.7,,,,,,
1995,12,7.48,0.83,7.62,26.3,106.3,140.1,78.5,,,,,,
1996,01,7.23,0.89,7.38,26.4,108.2,144.6,77.7,,,,,,
1996,02,7.19,0.92,7.33,26.1,106.3,140.6,78.6,,,,,,
1996,03,7.40,1.07,7.58,26.0,105.6,138.6,79.0,,,,,,
