,,,,,,,,Federal Housing Finance Agency,,
,,,,,,,,www.fhfa.gov,,
,,,,,,,,,,
"TABLE 24:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT  HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,
,,(%),Charges,(%),,($000),,(%),,
,,,(%),,,,,,,
,,,,,,,,,,
1986,01,9.71,2.34,10.15,27.1,84.7,111.3,77.9,,
1986,02,9.62,2.26,10.00,29.2,95.8,126.6,77.4,,
1986,03,9.44,2.31,9.82,28.8,81.3,106.6,77.0,,
1986,04,9.47,2.06,9.81,27.8,90.8,118.8,77.6,,
1986,05,9.50,1.91,9.82,28.3,88.9,115.4,78.9,,
1986,06,8.96,2.02,9.28,28.4,101.4,133.2,77.6,,
1986,07,9.07,1.86,9.38,26.8,97.1,129.8,74.7,,
1986,08,9.21,1.90,9.52,27.8,89.9,118.7,78.0,,
1986,09,8.70,1.93,9.01,27.3,93.6,128.6,73.9,,
1986,10,8.57,2.19,8.92,28.4,101.0,130.3,78.6,,
1986,11,8.30,2.24,8.66,28.8,104.0,136.6,77.3,,
1986,12,8.38,2.12,8.73,27.7,98.4,129.3,76.2,,
1987,01,8.51,1.85,8.80,29.0,103.3,134.2,77.7,,
1987,02,8.18,2.02,8.50,29.7,110.4,145.7,77.2,,
1987,03,7.97,1.93,8.28,28.4,96.4,126.8,77.3,,
1987,04,8.10,1.86,8.40,26.9,100.8,135.1,75.0,,
1987,05,7.79,2.05,8.10,29.6,113.0,146.2,78.5,,
1987,06,8.02,2.11,8.34,29.2,107.9,142.7,77.0,,
1987,07,8.21,2.05,8.53,29.5,112.2,148.5,77.1,,
1987,08,8.06,2.05,8.38,29.3,116.4,155.6,76.2,,
1987,09,8.17,1.96,8.48,29.0,112.5,149.3,77.6,,
1987,10,8.10,2.18,8.44,29.7,114.9,154.8,76.6,,
1987,11,8.24,2.13,8.57,29.4,108.3,143.2,77.1,,
1987,12,8.30,2.07,8.62,29.4,115.4,154.7,76.7,,
1988,01,8.15,2.14,8.48,29.3,116.4,159.9,74.4,,
1988,02,8.30,2.13,8.64,28.7,108.6,144.4,76.6,,
1988,03,8.06,2.27,8.42,28.4,107.1,141.1,78.3,,
1988,04,7.86,2.12,8.19,29.2,117.4,153.7,77.9,,
1988,05,7.80,1.99,8.11,29.3,117.7,154.3,78.1,,
1988,06,8.09,1.94,8.39,28.9,116.4,153.8,76.6,,
1988,07,8.08,2.09,8.41,29.5,121.3,160.2,77.6,,
1988,08,7.98,2.16,8.31,29.5,123.9,160.5,79.0,,
1988,09,8.16,1.97,8.47,29.4,121.2,156.8,78.7,,
1988,10,8.21,1.84,8.50,29.3,23.6,161.3,77.9,,
1988,11,8.32,2.11,8.65,29.6,125.5,160.7,79.6,,
1988,12,8.38,1.93,8.68,29.4,122.4,161.5,77.1,,
1989,01,8.47,1.81,8.76,29.6,131.8,174.4,77.2,,
1989,02,8.81,1.97,9.11,29.5,124.0,166.5,75.7,,
1989,03,8.79,1.95,9.11,29.6,134.5,177.8,77.3,,
1989,04,8.99,1.91,9.30,30.0,141.0,186.0,76.8,,
1989,05,9.24,1.95,9.55,29.6,125.7,165.4,77.3,,
1989,06,9.56,1.80,9.85,28.8,120.8,162.2,75.9,,
1989,07,9.44,1.88,9.75,29.1,133.4,177.7,76.9,,
1989,08,9.18,2.03,9.52,28.3,122.1,161.5,76.1,,
