,,,,,,,,Federal Housing Finance Agency,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 23:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, ALL HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,
,,,(%),,,,,,,,,,,,
,,,,,,,,,,,,,,,
1986,01,9.80,2.16,10.17,28.1,84.7,112.2,77.3,,,,,,,
1986,02,9.78,2.08,10.14,27.7,85.0,116.0,75.4,,,,,,,
1986,03,9.60,2.21,9.97,27.4,80.5,108.8,75.6,,,,,,,
1986,04,9.53,1.99,9.87,26.6,82.1,109.5,76.2,,,,,,,
1986,05,9.45,1.83,9.76,26.6,82.1,110.0,75.8,,,,,,,
1986,06,9.17,1.91,9.48,27.0,88.9,119.1,75.9,,,,,,,
1986,07,9.17,1.80,9.47,26.4,86.3,116.5,75.0,,,,,,,
1986,08,9.09,1.85,9.40,27.5,89.9,119.5,77.1,,,,,,,
1986,09,8.94,1.88,9.25,27.1,89.5,120.4,74.5,,,,,,,
1986,10,8.74,2.02,9.07,27.0,88.6,117.6,76.6,,,,,,,
1986,11,8.54,2.01,8.87,27.7,90.8,121.2,76.2,,,,,,,
1986,12,8.49,2.00,8.81,28.4,96.8,127.7,76.6,,,,,,,
1987,01,8.51,1.97,8.83,27.6,93.5,122.5,76.8,,,,,,,
1987,02,8.23,1.93,8.54,28.2,97.5,129.6,76.2,,,,,,,
1987,03,8.07,1.84,8.36,28.2,97.7,129.9,76.1,,,,,,,
1987,04,8.08,1.79,8.36,28.2,102.0,135.3,76.4,,,,,,,
1987,05,8.13,1.89,8.43,28.1,99.8,132.6,76.3,,,,,,,
1987,06,8.06,1.94,8.37,28.6,97.7,129.0,77.3,,,,,,,
1987,07,8.20,1.97,8.51,28.6,97.7,130.1,76.8,,,,,,,
1987,08,8.21,1.91,8.51,28.5,97.3,129.5,76.9,,,,,,,
1987,09,8.15,1.92,8.45,28.5,99.2,132.0,76.6,,,,,,,
1987,10,8.14,2.03,8.46,28.7,99.8,132.2,77.3,,,,,,,
1987,11,8.28,2.00,8.59,28.8,97.8,130.1,77.1,,,,,,,
1987,12,8.35,1.99,8.67,29.0,99.9,132.7,77.1,,,,,,,
1988,01,8.27,1.98,8.58,28.9,102.2,137.7,76.2,,,,,,,
1988,02,8.23,2.02,8.55,28.8,100.4,133.0,77.1,,,,,,,
1988,03,8.07,1.96,8.38,28.8,99.5,131.2,71.9,,,,,,,
1988,04,7.98,1.84,8.27,28.8,105.7,137.7,78.3,,,,,,,
1988,05,8.02,1.86,8.31,28.4,105.3,138.1,77.9,,,,,,,
1988,06,8.10,1.86,8.39,28.9,106.0,138.3,78.0,,,,,,,
1988,07,8.13,1.95,8.44,29.0,107.1,140.9,77.9,,,,,,,
1988,08,8.17,1.92,8.47,28.9,107.4,139.8,78.4,,,,,,,
1988,09,8.22,1.83,8.51,29.1,111.2,145.9,77.6,,,,,,,
1988,10,8.30,1.81,8.58,28.9,112.7,149.4,76.9,,,,,,,
1988,11,8.46,1.88,8.76,28.8,112.5,146.8,77.9,,,,,,,
1988,12,8.52,1.67,8.78,29.4,116.6,152.8,77.4,,,,,,,
1989,01,8.54,1.69,8.80,29.6,121.7,160.3,77.2,,,,,,,
