,,,,,,,,Federal Housing Finance Agency,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,
,,,,,,,,,,,,,,
"TABLE 22:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,
,,,(%),,,,,,,,,,,
,,,,,,,,,,,,,,
1986,01,10.93,2.40,11.38,23.6,65.2,91.7,74.2,,,,,,
1986,02,10.84,2.14,11.24,23.4,65.1,93.6,73.3,,,,,,
1986,03,10.49,2.17,10.88,24.1,72.9,103.7,73.9,,,,,,
1986,04,10.18,2.15,10.57,23.7,71.6,102.8,73.0,,,,,,
1986,05,9.93,2.10,10.30,23.7,72.6,104.4,72.3,,,,,,
1986,06,9.98,2.19,10.37,24.1,73.1,106.0,72.1,,,,,,
1986,07,10.09,2.28,10.49,24.8,74.5,107.8,72.4,,,,,,
1986,08,10.20,2.25,10.60,24.7,71.8,103.4,72.6,,,,,,
1986,09,10.07,2.24,10.47,24.9,73.6,106.7,72.6,,,,,,
1986,10,9.98,2.31,10.39,24.9,73.8,104.5,73.6,,,,,,
1986,11,9.89,2.19,10.28,25.2,75.4,107.3,73.5,,,,,,
1986,12,9.73,2.20,10.12,25.6,76.2,109.4,73.4,,,,,,
1987,01,9.47,2.08,9.82,25.6,74.2,103.4,74.3,,,,,,
1987,02,9.18,1.88,9.50,26.1,79.9,111.0,74.8,,,,,,
1987,03,9.03,1.75,9.32,26.3,84.1,114.5,75.0,,,,,,
1987,04,8.99,1.83,9.29,25.7,85.0,117.5,74.3,,,,,,
1987,05,9.21,2.08,9.56,24.8,81.9,116.1,73.4,,,,,,
1987,06,9.60,2.26,10.00,25.0,80.9,113.6,73.9,,,,,,
1987,07,9.92,2.31,10.33,24.6,74.9,107.6,72.8,,,,,,
1987,08,9.91,2.21,10.31,24.2,74.7,105.5,73.7,,,,,,
1987,09,9.87,2.16,10.26,24.5,75.1,106.1,73.3,,,,,,
1987,10,9.99,2.39,10.42,25.3,72.3,102.3,74.6,,,,,,
1987,11,10.06,2.42,10.49,24.7,75.8,106.2,74.3,,,,,,
1987,12,9.98,2.29,10.39,25.8,73.1,101.6,75.7,,,,,,
1988,01,10.06,2.03,10.43,24.5,75.6,106.6,73.5,,,,,,
1988,02,9.90,1.95,10.25,26.5,77.1,109.2,74.9,,,,,,
1988,03,9.71,1.77,10.02,26.6,82.4,115.7,74.5,,,,,,
1988,04,9.80,1.75,10.10,26.4,80.5,113.3,74.1,,,,,,
1988,05,9.79,2.01,10.15,25.4,78.6,109.0,74.8,,,,,,
1988,06,10.00,1.91,10.33,26.2,80.7,111.1,75.7,,,,,,
1988,07,10.13,2.14,10.51,25.8,76.1,107.6,74.2,,,,,,
1988,08,10.20,2.04,10.56,26.0,80.2,113.1,74.2,,,,,,
1988,09,10.25,2.25,10.65,26.1,73.9,103.7,74.4,,,,,,
1988,10,10.34,1.87,10.68,25.9,78.3,110.6,73.7,,,,,,
1988,11,10.17,2.00,10.52,26.4,81.6,116.7,73.7,,,,,,
1988,12,10.18,1.82,10.50,26.7,84.1,116.7,74.7,,,,,,
1989,01,10.25,1.98,10.60,26.4,89.8,126.8,73.4,,,,,,
1989,02,10.39,2.23,10.79,25.6,77.6,107.9,74.7,,,,,,
1989,03,10.48,1.85,10.81,27.1,84.4,117.4,74.8,,,,,,
1989,04,10.58,1.94,10.92,27.0,87.7,123.0,74.3,,,,,,
1989,05,10.82,1.95,11.17,25.7,88.0,123.4,74.3,,,,,,
1989,06,10.68,1.87,11.01,27.2,89.1,123.0,74.3,,,,,,
1989,07,10.37,1.61,10.65,27.5,98.2,137.1,74.2,,,,,,
1989,08,9.99,1.65,10.27,28.0,100.6,137.2,75.1,,,,,,
1989,09,10.00,1.87,10.33,26.1,85.5,120.1,73.5,,,,,,
1989,10,10.05,1.79,10.36,26.7,93.6,130.8,73.7,,,,,,
1989,11,10.01,1.90,10.34,27.0,98.1,137.3,73.5,,,,,,
1989,12,9.87,1.64,10.15,27.1,99.8,141.0,73.9,,,,,,
1990,01,9.81,1.84,10.12,27.3,101.0,142.6,73.6,,,,,,
1990,02,9.97,1.94,10.30,26.5,100.5,140.0,74.4,,,,,,
1990,03,10.03,2.05,10.39,26.8,97.4,135.0,74.3,,,,,,
1990,04,10.15,1.94,10.49,26.1,98.9,136.6,75.0,,,,,,
1990,05,10.18,1.81,10.50,25.6,95.2,132.8,74.2,,,,,,
1990,06,10.22,1.93,10.56,26.6,95.1,133.1,74.1,,,,,,
1990,07,10.19,1.77,10.51,26.2,97.5,134.7,74.5,,,,,,
1990,08,10.00,1.67,10.30,25.7,92.7,129.3,73.6,,,,,,
1990,09,10.01,1.79,10.33,25.3,91.1,128.6,72.9,,,,,,
1990,10,10.06,1.76,10.37,25.5,92.2,129.1,73.7,,,,,,
1990,11,10.09,1.68,10.39,25.4,93.6,130.5,74.1,,,,,,
1990,12,9.91,1.53,10.18,26.7,98.7,139.8,73.2,,,,,,
1991,01,9.75,1.51,10.02,25.3,98.8,139.4,73.4,,,,,,
1991,02,9.71,1.51,9.97,25.1,100.4,144.2,73.0,,,,,,
1991,03,9.41,1.39,9.65,25.1,99.1,142.4,73.2,,,,,,
1991,04,9.42,1.63,9.71,25.7,102.7,146.3,72.6,,,,,,
1991,05,9.50,1.69,9.79,26.4,100.4,139.7,73.9,,,,,,
1991,06,9.48,1.59,9.75,26.6,102.3,142.6,74.3,,,,,,
1991,07,9.48,1.79,9.79,25.7,103.4,144.3,74.4,,,,,,
1991,08,9.50,1.63,9.78,26.3,97.6,136.2,74.0,,,,,,
1991,09,9.32,1.51,9.57,26.2,100.3,140.5,74.2,,,,,,
1991,10,9.16,1.45,9.41,25.3,101.5,143.9,73.2,,,,,,
1991,11,8.79,1.57,9.06,25.1,92.4,127.8,75.7,,,,,,
1991,12,8.53,1.56,8.80,25.3,98.4,133.4,76.0,,,,,,
1992,01,8.30,1.18,8.52,24.8,111.9,159.5,73.2,,,,,,
1992,02,8.39,1.57,8.69,24.4,98.3,138.3,74.2,,,,,,
1992,03,8.57,1.72,8.89,24.2,99.0,134.4,76.4,,,,,,
1992,04,8.64,1.74,8.95,25.0,99.6,132.2,78.0,,,,,,
1992,05,8.60,1.65,8.89,25.6,105.0,138.9,78.3,,,,,,
1992,06,8.47,1.73,8.78,24.8,103.4,136.8,77.6,,,,,,
1992,07,8.17,1.55,8.46,24.2,101.4,138.3,76.4,,,,,,
1992,08,7.95,1.87,8.29,23.9,104.7,140.7,76.8,,,,,,
1992,09,7.81,1.57,8.08,24.1,100.6,137.5,76.1,,,,,,
1992,10,7.81,1.41,8.05,23.8,104.0,144.9,74.7,,,,,,
1992,11,7.93,1.63,8.22,23.6,98.4,135.1,75.6,,,,,,
1992,12,8.05,1.56,8.34,23.5,99.6,133.2,78.0,,,,,,
1993,01,7.97,1.55,8.26,23.7,95.0,127.1,77.8,,,,,,
1993,02,7.78,1.37,8.02,24.3,102.0,140.6,75.9,,,,,,
1993,03,7.57,1.36,7.80,24.3,98.0,132.8,76.5,,,,,,
1993,04,7.47,1.20,7.68,23.6,98.7,135.2,76.1,,,,,,
1993,05,7.44,1.26,7.66,23.7,95.0,125.0,77.9,,,,,,
1993,06,7.44,1.31,7.66,24.0,97.3,129.6,77.9,,,,,,
1993,07,7.26,1.15,7.45,25.1,101.0,134.0,78.0,,,,,,
1993,08,7.13,1.04,7.30,24.7,100.8,136.7,76.7,,,,,,
1993,09,7.02,1.07,7.20,24.7,98.5,132.0,77.6,,,,,,
1993,10,6.86,0.98,7.02,24.8,100.8,136.7,76.4,,,,,,
1993,11,6.92,1.08,7.10,25.2,97.9,133.8,76.5,,,,,,
1993,12,7.13,1.20,7.33,25.5,97.9,129.6,78.4,,,,,,
1994,01,7.15,1.07,7.32,25.3,94.7,128.3,76.8,,,,,,
1994,02,7.07,0.94,7.22,25.0,99.2,134.6,77.4,,,,,,
1994,03,7.26,1.04,7.43,25.7,95.7,124.6,79.7,,,,,,
1994,04,7.62,1.05,7.80,25.6,98.9,128.0,79.6,,,,,,
1994,05,8.09,1.22,8.31,25.0,89.7,115.5,80.6,,,,,,
1994,06,8.26,1.09,8.45,26.1,91.7,117.5,81.0,,,,,,
1994,07,8.35,1.20,8.56,25.6,90.8,116.9,80.6,,,,,,
1994,08,8.45,1.01,8.62,26.5,89.5,115.6,81.6,,,,,,
1994,09,8.46,1.09,8.65,25.8,89.3,116.1,80.2,,,,,,
1994,10,8.60,1.04,8.78,26.0,86.9,112.3,80.4,,,,,,
1994,11,8.77,1.09,8.96,26.1,90.2,116.8,80.8,,,,,,
1994,12,8.82,1.36,9.06,25.6,78.5,100.4,82.0,,,,,,
1995,01,9.02,1.30,9.25,26.1,82.5,107.6,80.2,,,,,,
1995,02,8.99,1.34,9.22,26.4,87.1,111.4,80.7,,,,,,
1995,03,8.82,0.96,8.99,26.9,88.5,112.7,81.3,,,,,,
1995,04,8.59,1.02,8.76,26.8,91.6,116.8,80.9,,,,,,
1995,05,8.30,1.10,8.48,26.4,91.6,119.0,80.0,,,,,,
1995,06,7.85,0.93,8.01,26.5,97.2,127.2,80.0,,,,,,
1995,07,7.71,0.94,7.87,26.6,99.5,128.9,80.1,,,,,,
1995,08,7.84,0.95,8.00,26.3,97.7,127.6,79.4,,,,,,
1995,09,7.80,0.91,7.95,26.5,98.1,129.1,79.2,,,,,,
1995,10,7.71,0.96,7.87,26.6,100.7,132.4,79.0,,,,,,
1995,11,7.63,0.81,7.76,26.4,101.0,133.1,78.7,,,,,,
1995,12,7.51,0.74,7.64,26.1,102.1,135.2,78.5,,,,,,
1996,01,7.23,0.85,7.37,26.3,105.3,141.0,77.8,,,,,,
1996,02,7.20,0.87,7.34,25.9,102.8,136.8,78.4,,,,,,
1996,03,7.40,1.03,7.57,26.0,101.9,133.9,79.1,,,,,,
