,,,,,,,,Federal Housing Finance Agency,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,
,,,,,,,,,,,,,,
"TABLE 21:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT HOMES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,
,,,(%),,,,,,,,,,,
,,,,,,,,,,,,,,
1986,01,10.93,2.72,11.45,24.1,72.1,106.2,71.7,,,,,,
1986,02,10.68,2.95,11.22,24.9,75.0,105.7,74.0,,,,,,
1986,03,10.36,2.76,10.85,25.9,78.6,109.0,74.5,,,,,,
1986,04,10.03,2.46,10.47,25.2,81.0,112.2,75.2,,,,,,
1986,05,9.96,2.29,10.37,24.8,80.8,114.4,73.3,,,,,,
1986,06,9.94,2.50,10.37,26.1,84.6,119.2,74.2,,,,,,
1986,07,10.14,2.49,10.58,26.0,79.3,111.5,73.7,,,,,,
1986,08,10.07,2.58,10.53,26.1,82.9,117.6,73.3,,,,,,
1986,09,10.01,2.63,10.47,27.1,89.5,122.8,75.5,,,,,,
1986,10,9.89,2.81,10.37,27.7,91.6,126.6,74.7,,,,,,
1986,11,9.82,2.76,10.31,26.9,88.8,120.2,75.8,,,,,,
1986,12,9.69,2.61,10.13,27.3,90.8,122.8,76.4,,,,,,
1987,01,9.35,2.36,9.75,27.3,95.3,132.1,74.8,,,,,,
1987,02,9.07,2.26,9.45,27.0,95.8,132.6,74.8,,,,,,
1987,03,9.00,2.28,9.38,26.8,94.5,131.2,73.5,,,,,,
1987,04,9.01,2.31,9.39,27.1,100.9,137.3,75.3,,,,,,
1987,05,9.39,2.34,9.78,27.5,94.4,128.5,75.3,,,,,,
1987,06,9.58,2.54,10.01,27.4,92.1,126.3,75.4,,,,,,
1987,07,9.67,2.73,10.14,26.6,88.8,123.1,73.9,,,,,,
1987,08,9.86,2.31,10.26,26.4,90.4,128.3,73.9,,,,,,
1987,09,9.86,2.20,10.24,25.7,89.4,131.4,71.7,,,,,,
1987,10,9.99,2.57,10.44,26.2,93.1,131.4,72.6,,,,,,
1987,11,10.17,2.69,10.65,26.2,85.2,122.4,72.1,,,,,,
1987,12,10.08,2.61,10.54,25.0,87.2,127.6,70.1,,,,,,
1988,01,10.01,2.23,10.42,25.8,91.4,129.3,75.3,,,,,,
1988,02,9.77,2.46,10.20,26.8,94.8,128.2,76.0,,,,,,
1988,03,9.64,2.28,10.03,26.0,104.7,154.6,70.9,,,,,,
1988,04,9.73,2.29,10.13,26.1,106.5,149.1,74.4,,,,,,
1988,05,9.75,2.39,10.17,26.5,93.9,132.0,73.9,,,,,,
1988,06,9.95,2.46,10.39,25.7,102.0,149.6,70.2,,,,,,
1988,07,10.04,2.51,10.47,26.4,95.8,140.4,71.3,,,,,,
1988,08,10.07,2.73,10.54,26.6,97.0,141.7,71.9,,,,,,
1988,09,10.14,2.43,10.57,24.7,90.8,134.1,70.1,,,,,,
1988,10,10.25,2.35,10.67,26.1,88.9,134.4,70.3,,,,,,
1988,11,10.12,2.53,10.56,26.8,101.6,147.4,71.0,,,,,,
1988,12,10.18,2.32,10.59,26.4,91.1,130.5,73.0,,,,,,
1989,01,10.17,2.02,10.53,27.6,107.4,152.9,72.6,,,,,,
1989,02,10.33,2.49,10.77,26.8,95.2,136.3,70.6,,,,,,
1989,03,10.48,2.27,10.89,25.8,100.2,141.3,71.4,,,,,,
1989,04,10.65,1.53,10.93,26.9,110.0,154.5,73.3,,,,,,
1989,05,10.60,2.34,11.02,26.4,94.2,133.6,72.6,,,,,,
1989,06,10.70,2.04,11.07,26.5,99.8,137.2,74.5,,,,,,
1989,07,10.23,2.57,10.68,28.4,122.9,173.6,72.9,,,,,,
1989,08,9.89,2.38,10.39,28.3,118.8,160.6,75.5,,,,,,
1989,09,10.01,2.26,10.40,28.3,116.6,157.9,75.4,,,,,,
1989,10,10.07,2.07,10.43,26.8,105.6,150.2,71.1,,,,,,
1989,11,10.03,1.91,10.36,27.1,105.9,149.8,71.9,,,,,,
1989,12,9.87,2.29,10.26,27.6,114.6,157.1,73.8,,,,,,
1990,01,9.80,1.91,10.13,26.3,100.7,142.5,72.4,,,,,,
1990,02,9.87,1.95,10.21,26.5,105.0,144.8,74.7,,,,,,
1990,03,9.98,1.98,10.33,25.7,92.7,129.5,74.0,,,,,,
1990,04,10.16,2.14,10.54,25.5,102.4,142.4,74.6,,,,,,
1990,05,10.24,2.50,10.68,27.4,111.0,153.5,73.9,,,,,,
1990,06,10.21,2.19,10.60,25.9,102.0,138.9,75.5,,,,,,
1990,07,10.15,2.05,10.51,27.1,109.5,149.9,74.9,,,,,,
1990,08,10.01,2.17,10.38,26.8,113.8,156.6,74.4,,,,,,
1990,09,10.04,1.89,10.35,25.6,101.9,143.2,73.3,,,,,,
1990,10,10.04,1.98,10.38,25.9,95.1,136.0,72.6,,,,,,
1990,11,10.09,1.81,10.41,25.7,98.5,135.8,74.6,,,,,,
1990,12,9.95,2.03,10.30,27.7,97.9,136.8,73.8,,,,,,
1991,01,9.75,1.81,10.06,27.5,101.5,135.0,77.2,,,,,,
1991,02,9.58,1.85,9.89,27.3,103.3,141.2,75.9,,,,,,
1991,03,9.39,1.71,9.68,25.0,92.9,128.1,73.9,,,,,,
1991,04,9.47,2.14,9.84,26.2,110.9,148.1,75.8,,,,,,
1991,05,9.53,1.68,9.81,26.0,108.8,148.4,74.4,,,,,,
1991,06,9.47,1.72,9.76,26.0,113.3,158.2,73.2,,,,,,
1991,07,9.46,1.91,9.80,26.1,113.0,154.0,75.1,,,,,,
1991,08,9.50,1.79,9.81,26.5,106.1,148.5,73.9,,,,,,
1991,09,9.31,1.75,9.60,24.9,104.6,148.0,72.1,,,,,,
1991,10,9.02,1.63,9.29,27.0,110.5,149.3,76.0,,,,,,
1991,11,8.69,1.72,8.99,25.6,109.2,155.6,73.1,,,,,,
1991,12,8.57,1.55,8.83,25.9,108.3,152.1,73.2,,,,,,
1992,01,8.31,1.91,8.65,26.1,113.9,152.4,75.3,,,,,,
1992,02,8.43,1.85,8.80,24.6,111.2,155.7,73.5,,,,,,
1992,03,8.54,1.78,8.85,24.6,122.7,167.2,76.0,,,,,,
1992,04,8.63,1.94,8.96,26.1,125.6,161.6,79.7,,,,,,
1992,05,8.60,1.69,8.90,26.1,118.5,156.3,78.0,,,,,,
1992,06,8.40,1.59,8.69,24.4,115.6,153.6,77.9,,,,,,
1992,07,8.12,1.17,8.31,25.7,117.5,155.8,77.1,,,,,,
1992,08,8.00,1.66,8.29,24.5,112.9,147.8,79.1,,,,,,
1992,09,7.92,1.54,8.18,25.2,105.9,142.0,77.0,,,,,,
1992,10,7.93,1.43,8.18,24.8,126.1,165.5,78.0,,,,,,
1992,11,8.13,1.59,8.41,24.4,111.0,153.8,75.4,,,,,,
1992,12,8.11,1.28,8.34,25.1,110.5,145.7,77.3,,,,,,
1993,01,7.99,1.53,8.26,24.6,107.3,143.8,76.6,,,,,,
1993,02,7.74,1.42,7.99,23.1,108.7,154.3,74.9,,,,,,
1993,03,7.54,1.47,7.79,26.2,118.2,150.4,80.0,,,,,,
1993,04,7.51,1.41,7.74,26.0,123.0,161.6,78.5,,,,,,
1993,05,7.36,1.45,7.59,26.7,115.0,147.2,80.0,,,,,,
1993,06,7.40,1.36,7.62,25.0,125.1,173.8,77.8,,,,,,
1993,07,7.21,1.30,7.42,25.6,123.9,164.6,77.6,,,,,,
1993,08,7.09,1.22,7.29,25.9,118.3,153.1,78.5,,,,,,
1993,09,6.97,1.14,7.16,26.1,116.9,150.8,78.6,,,,,,
1993,10,6.91,1.27,7.12,26.3,123.4,160.7,78.8,,,,,,
1993,11,6.89,1.27,7.09,26.5,132.0,173.0,79.0,,,,,,
1993,12,7.06,1.11,7.24,26.4,121.8,159.7,79.3,,,,,,
1994,01,7.07,1.31,7.28,27.2,118.0,153.8,78.5,,,,,,
1994,02,7.03,1.16,7.22,26.6,117.3,149.7,80.4,,,,,,
1994,03,7.22,1.27,7.42,27.2,124.8,161.5,79.8,,,,,,
1994,04,7.57,1.27,7.78,26.2,123.0,159.1,78.7,,,,,,
1994,05,7.87,1.61,8.14,26.6,119.8,156.6,78.1,,,,,,
1994,06,8.13,1.42,8.37,24.9,122.0,166.5,76.6,,,,,,
1994,07,8.15,1.43,8.39,26.8,116.3,150.9,79.2,,,,,,
1994,08,8.20,1.47,8.45,26.8,111.1,145.5,78.7,,,,,,
1994,09,8.31,1.49,8.57,26.0,115.4,148.6,79.1,,,,,,
1994,10,8.43,1.38,8.66,26.8,120.1,158.5,78.0,,,,,,
1994,11,8.55,1.46,8.81,25.6,118.2,159.6,76.3,,,,,,
1994,12,8.82,1.40,9.08,25.3,104.5,145.5,75.3,,,,,,
1995,01,9.01,1.42,9.26,25.2,115.3,157.7,75.6,,,,,,
1995,02,8.82,1.38,9.06,26.9,122.8,162.2,78.2,,,,,,
1995,03,8.59,1.38,8.82,27.8,108.7,148.0,75.6,,,,,,
1995,04,8.45,1.29,8.66,26.9,118.3,152.8,79.4,,,,,,
1995,05,8.16,1.44,8.40,27.6,116.5,153.4,78.3,,,,,,
1995,06,7.85,1.22,8.06,26.2,123.7,165.1,77.4,,,,,,
1995,07,7.79,1.26,8.01,25.8,122.2,159.2,78.9,,,,,,
1995,08,7.81,1.17,8.01,26.3,119.3,158.7,77.9,,,,,,
1995,09,7.64,1.27,7.84,27.9,122.7,165.3,77.7,,,,,,
1995,10,7.59,1.16,7.80,25.9,122.0,159.1,78.3,,,,,,
1995,11,7.42,1.34,7.64,27.4,127.5,168.2,78.5,,,,,,
1995,12,7.31,1.27,7.52,26.9,126.9,164.8,78.8,,,,,,
1996,01,7.23,1.16,7.41,27.4,130.6,173.4,77.5,,,,,,
1996,02,7.10,1.28,7.31,27.6,135.9,172.5,80.4,,,,,,
1996,03,7.42,1.37,7.69,25.8,134.0,175.3,77.8,,,,,,
