,,,,,,,,Federal Housing Finance Agency,,,
,,,,,,,,www.fhfa.gov,,,
,,,,,,,,,,,
"TABLE 25:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,
,,(%),Charges,(%),,($000),,(%),,,
,,,(%),,,,,,,,
,,,,,,,,,,,
1986,01,9.81,2.09,10.17,28.3,84.9,112.6,77.3,,,
1986,02,9.84,1.99,10.18,27.2,81.5,112.2,75.0,,,
1986,03,9.65,2.15,10.02,27.0,80.9,110.0,75.5,,,
1986,04,9.55,1.94,9.88,26.4,80.4,107.7,75.9,,,
1986,05,9.43,1.77,9.73,26.1,81.6,110.3,75.1,,,
1986,06,9.22,1.88,9.53,26.8,88.3,118.5,75.6,,,
1986,07,9.17,1.75,9.46,26.4,84.0,113.1,75.4,,,
1986,08,9.05,1.85,9.36,27.7,91.6,121.8,76.9,,,
1986,09,8.99,1.86,9.30,27.1,89.4,119.9,74.6,,,
1986,10,8.76,1.99,9.08,27.0,88.4,117.4,77.0,,,
1986,11,8.59,1.95,8.91,27.5,88.3,118.2,76.1,,,
1986,12,8.52,1.94,8.83,28.7,96.9,127.8,77.0,,,
1987,01,8.48,1.98,8.80,27.5,92.2,121.0,76.9,,,
1987,02,8.24,1.90,8.54,28.0,95.3,126.4,76.4,,,
1987,03,8.09,1.80,8.38,28.3,98.4,130.6,76.1,,,
1987,04,8.07,1.76,8.35,28.6,103.7,136.5,77.1,,,
1987,05,8.19,1.84,8.48,27.8,98.0,130.7,76.0,,,
1987,06,8.07,1.90,8.36,28.5,96.4,127.1,77.5,,,
1987,07,8.19,1.94,8.50,28.4,95.3,126.7,77.1,,,
1987,08,8.24,1.86,8.53,28.4,94.0,124.6,77.3,,,
1987,09,8.14,1.90,8.44,28.4,96.3,127.8,76.6,,,
1987,10,8.14,1.97,8.45,28.6,96.3,126.5,77.8,,,
1987,11,8.28,1.96,8.59,28.6,95.2,126.5,77.4,,,
1987,12,8.36,1.95,8.67,28.9,95.2,125.6,77.4,,,
1988,01,8.29,1.93,8.59,28.9,98.4,130.5,77.2,,,
1988,02,8.20,1.96,8.51,28.9,98.4,130.1,77.4,,,
1988,03,8.07,1.85,8.36,29.0,97.7,128.5,78.1,,,
1988,04,7.99,1.76,8.26,28.8,103.4,133.7,78.7,,,
1988,05,8.06,1.82,8.35,28.3,102.6,133.9,78.1,,,
1988,06,8.10,1.81,8.39,29.0,103.7,134.4,78.5,,,
1988,07,8.14,1.91,8.44,28.9,104.1,136.2,78.3,,,
1988,08,8.20,1.84,8.49,28.8,103.8,135.1,78.4,,,
1988,09,8.23,1.77,8.51,29.0,109.2,143.5,77.5,,,
1988,10,8.31,1.77,8.59,28.9,110.8,146.8,77.1,,,
1988,11,8.49,1.78,8.78,28.7,109.5,142.9,77.9,,,
1988,12,8.55,1.57,8.80,29.5,115.5,150.4,77.8,,,
1989,01,8.54,1.64,8.80,29.7,120.2,157.7,77.4,,,
1989,02,8.75,1.82,9.04,29.6,117.1,153.7,77.4,,,
1989,03,8.94,1.85,9.24,28.8,111.8,146.4,77.4,,,
1989,04,9.15,1.76,9.43,29.3,122.4,159.9,77.8,,,
1989,05,9.47,1.92,9.79,29.1,117.9,155.5,77.2,,,
1989,06,9.76,1.84,10.07,28.7,106.1,141.4,76.7,,,
