"NATIONAL AGGREGATE TABLE 3: LOANS SOLD , BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF PURCHASER, 2003",,,,,,,,,,,,,,,,,,Page 1  of  1
,,,,,,,,,,,,,,,,,,FINAL 2003 NATIONAL AGGREGATES
,,,,,TYPE OF PURCHASER,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIFE ,,AFFILIATE   ,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,COMMERCIAL ,SAVINGS BANK ,,,INSURANCE ,,OF ,OTHER ,
CHARACTERISTICS,FNMA,,GNMA,,FHLMC,,FAMC,,,BANK,OR S&L,,,COMPANY,,INSTITUTION,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  4/                                                                                                                                                                                                                                                  ,,,,,,,,,,,,,,,,,,
AMERICAN IND/ALASKAN NATIVE                                                                                                                                                                                                                               ,20909,3047756,5571,659291,6711,918762,7,740,1277,242404,1045,139754,98,16265,7042,1087896,14759,2400946
ASIAN/PACIFIC ISLANDER                                                                                                                                                                                                                                    ,303180,59414337,16814,2435127,119150,22243142,37,6744,22027,5961178,7456,1880116,2567,585217,65964,17277970,195324,46564395
BLACK                                                                                                                                                                                                                                                     ,225632,31066688,157272,19384990,74992,10015841,370,54056,25447,3758668,13935,1955787,4662,632491,96916,12793616,327869,44779069
HISPANIC                                                                                                                                                                                                                                                  ,379248,56923174,151899,19117912,127311,17794552,255,32583,34709,5534251,15613,2464846,3610,582040,146591,21647386,444653,69505669
WHITE                                                                                                                                                                                                                                                     ,4712432,708686293,764989,93415370,2551662,361641949,1788,198331,401076,79033652,152459,26398492,35843,6299029,1036534,200955411,3289723,577192624
OTHER                                                                                                                                                                                                                                                     ,63582,10672136,11122,1479791,39043,6019421,16,2305,5440,1155972,4861,799870,618,114353,18689,3872171,71341,13464053
JOINT (WHITE/MINORITY)   5/                                                                                                                                                                                                                               ,144310,25186802,38286,5172061,74018,11977284,43,5722,13187,3040997,5370,1059357,3877,611774,32887,7071122,142954,26721837
RACE NOT AVAILABLE  6/                                                                                                                                                                                                                                    ,1369994,225982615,372050,46489553,609048,96540948,217,28114,105129,25592571,32809,7667121,7259,1383107,384043,73762322,1383187,248128161
GENDER                                                                                                                                                                                                                                                    ,,,,,,,,,,,,,,,,,,
MALE                                                                                                                                                                                                                                                      ,1433849,211858920,348097,41780865,625256,86996479,784,87821,127935,23483407,55339,9156532,11812,1877046,412914,73483780,1348011,223318174
FEMALE                                                                                                                                                                                                                                                    ,1229358,165038473,245358,27392623,515234,63192623,649,71468,92826,14485599,44475,6443510,10520,1487234,313909,47084193,1012727,148752457
JOINT (MALE/FEMALE)   7/                                                                                                                                                                                                                                  ,3580398,582523814,614671,80379929,2027888,309370772,1111,145058,311861,67288178,116934,21846275,34165,6415337,813064,169521704,2561436,487771185
GENDER NOT AVAILABLE   6/                                                                                                                                                                                                                                 ,975682,161558722,309876,38600514,433556,67592064,189,24248,75674,19063788,16800,4919026,2037,444659,248779,48378217,947649,168916687
INCOME  8/                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA MEDIAN                                                                                                                                                                                                                               ,354184,33633224,76660,7116168,138676,12203731,199,16605,24774,2366794,12406,1217763,14956,2286328,79682,7482253,277226,25505829
50-79% OF MSA MEDIAN                                                                                                                                                                                                                                      ,1070615,132494105,212133,25209827,431806,49420092,575,60630,77815,9560715,37089,4619613,7571,921399,235369,27866338,818731,97958431
80-99% OF MSA MEDIAN                                                                                                                                                                                                                                      ,824155,119183639,123406,16756388,352136,47308907,288,38646,54738,8048544,26809,3912878,5607,798808,169349,24105605,605273,85912610
100-119% OF MSA MEDIAN                                                                                                                                                                                                                                    ,748533,118675065,86368,12451643,355348,52575563,186,27962,56392,9519285,24046,3929477,5301,826368,156925,25160554,550619,87596476
120% OR MORE OF MSA MEDIAN                                                                                                                                                                                                                                ,2530652,472858126,128128,19371098,1279879,228118359,360,71099,243538,66648419,83052,19452823,19037,4446764,654733,175123989,2009689,482083544
INCOME NOT AVAILABLE  6/                                                                                                                                                                                                                                  ,885801,147788678,744443,92542394,557511,81876429,525,64701,84737,18653793,29420,6420650,2380,469533,325335,56576076,1049630,178553801
CENSUS TRACT CHARACTERISTICS  9/,,,,,,,,,,,,,,,,,,
RACIAL COMPOSITION  10/                                                                                                                                                                                                                                   ,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY                                                                                                                                                                                                                                    ,2149362,327376433,305558,38152689,1284373,186961297,620,77439,177856,36449092,63050,11199818,16186,2890443,466748,91253300,1417435,250345681
10-19% MINORITY                                                                                                                                                                                                                                           ,1557254,251164606,308737,39978199,772446,119045995,459,58643,134582,31495037,48209,9678772,14680,2721560,377852,84066050,1215358,238577557
20-49% MINORITY                                                                                                                                                                                                                                           ,1770951,293990391,465881,59518607,756438,119454516,528,66159,147621,32422175,60008,11667430,17114,3076890,455693,89978024,1604079,296670120
50-79% MINORITY                                                                                                                                                                                                                                           ,607986,101408043,180203,21828583,208717,32460244,272,34319,49788,9454839,24903,4351095,4454,725387,172999,29619887,653587,108998332
80-100% MINORITY                                                                                                                                                                                                                                          ,319658,49633403,106426,13524647,90286,13269850,253,43033,28636,4593465,16650,2655788,2418,334920,111941,16618448,418536,62656103
INCOME  11/                                                                                                                                                                                                                                               ,,,,,,,,,,,,,,,,,,
LOW INCOME                                                                                                                                                                                                                                                ,69515,9784862,21595,2684707,21555,2851179,34,5052,7614,1119186,4138,636042,540,66662,28238,3816274,99810,13135851
MODERATE  INCOME                                                                                                                                                                                                                                          ,676152,90690823,241435,27519941,253738,30845976,324,42191,62686,8890827,30601,4330311,5341,686580,214072,27886162,752242,98453796
MIDDLE INCOME                                                                                                                                                                                                                                             ,2965310,435583650,779115,97639899,1432043,195735861,1211,148570,226979,38493477,97451,15364820,23566,3640392,704709,108970196,2409263,368141200
UPPER INCOME                                                                                                                                                                                                                                              ,2701714,488282773,328781,45566159,1407581,241980378,562,83409,244522,66258166,80590,19211092,25397,5352399,673902,175410429,2048143,477486748
                                                                                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,
TOTAL  12/                                                                                                                                                                                                                                                ,7219289,1120980176,1518005,188154665,3601946,527154161,2733,328595,608298,124321111,233549,42365366,58534,10224276,1788666,338467894,5869868,1028766240
,,,,,,,,,,,,,,,,Report Date:,05/13/2004,
