"NATIONAL AGGREGATE TABLE 3-1: LOANS SOLD, BY CHARACTERISTICS OF BORROWER AND OF CENSUS TRACT IN WHICH PROPERTY IS LOCATED AND BY TYPE OF ",,,,,,,,,,,,,,,,,Page 1  of  1,
"PURCHASER (INCLUDES ORIGINATIONS AND PURCHASED LOANS), 2004",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FINAL 2004 NATIONAL AGGREGATES,
,,,,,,,,,,,COMMERCIAL ,,"INSURANCE CO, ",,,,,
,,,,,,,,,,,"BANK, SAVINGS ",,"CREDIT UNION, ",,,,,
,,,,,,,,,,PRIVATE ,"BANK, OR SAVING ",,"MORTGAGE BK, OR ",,,,,
BORROWER OR CENSUS TRACT ,,,,,,,,,,SECURITI- ,,,,,AFFILIATE OF ,,OTHER ,
,,,,,,,,,,,ASSOC ,,FINANCE CO,,,,,
CHARACTERISTICS,FANNIE MAE,,,GINNIE MAE,,FREDDIE MAC,,FARMER MAC,,ZATION,,,,,INSTITUTION,,PURCHASER,
,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's,Number,$000's
BORROWER CHARACTERISTICS,,,,,,,,,,,,,,,,,,
RACE  5/,,,,,,,,,,,,,,,,,,
AMERICAN INDIAN/ALASKA NATIVE,19571,3086773,6014,725452,7670,1167982,3,210,2831,548452,10618,2215324,7155,1154657,12901,1890258,29450,4954792
ASIAN,137164,28326984,7309,1062797,69557,14309437,6,875,14368,4263627,45019,14003109,39258,9392128,66185,19049767,130393,31731926
BLACK OR AFRICAN AMERICAN,136431,19613654,99507,12398345,57331,8395641,35,5338,24721,4113463,77683,12592338,88555,12485498,105811,15563323,324720,46473378
NAT HAWAIIAN/OTHER PACIFIC ISLND,13609,2481905,3084,415393,6234,1100285,7,471,2288,538521,6888,1520478,7274,1401469,5891,1323909,25771,4933121
WHITE,2187755,342458153,485509,59965680,1350749,208392450,415,46784,202547,44187425,709584,148618180,738065,123814241,932414,190340691,2307300,400546163
2 OR MORE MINORITY RACES,1396,251524,292,37162,862,153836,,,193,39182,504,104166,1203,247963,394,89867,4381,792174
JOINT (WHITE/MINORITY RACE) ,35874,6638991,11694,1637266,21826,3958029,7,548,3656,937700,13760,3416705,18304,3219021,15245,3779535,40291,8250238
RACE NOT AVAILABLE  6/,552586,98009542,216796,27674640,337090,57593282,149,22994,461912,78787409,290611,47544948,372031,61570286,400625,79386471,763383,144513837
ETHNICITY 7/,,,,,,,,,,,,,,,,,,
HISPANIC OR LATINO,220918,35119298,87420,10930656,94518,14372642,16,2139,39841,7564805,119963,22364741,117497,19020365,134529,23344555,409789,69534312
NOT HISPANIC OR LATINO,2028809,321797981,451063,55734580,1260002,197112452,407,45675,191356,42750714,679761,143766884,711586,120285314,829259,174695988,2254245,391361577
JOINT (HISPANIC OR LATINO/ NOT ,34618,6193405,11234,1520120,21557,3740500,2,194,3454,825093,12634,2972634,12670,2346405,12455,2822893,37954,7296644
HISPANIC OR LATINO),,,,,,,,,,,,,,,,,,
ETHNICITY NOT AVAILABLE 6/,800041,137756842,280488,35731379,475242,79845348,197,29212,477865,82275167,342309,60910989,430092,71633179,563223,110560385,923701,174003096
MINORITY STATUS 8/,,,,,,,,,,,,,,,,,,
WHITE NON-HISPANIC,1731371,269561429,349337,42868809,1113654,171016252,355,39131,148262,33302685,544690,114200521,568108,95406879,675176,141659956,1755710,304186252
"OTHERS, INCLUDING HISPANIC",573313,97371165,218076,27623050,268575,45401891,74,9656,88082,18147343,271258,55950016,279982,47222400,337798,65370844,961588,166673129
INCOME  9/,,,,,,,,,,,,,,,,,,
LESS THAN 50% OF MSA/MD MEDIAN,194579,17929557,57007,4911107,96182,8633875,70,4893,14286,1175877,49868,4673032,66141,6006340,81778,7228376,207118,18498915
50-79% OF MSA/MD MEDIAN,559537,69773368,176103,20380615,290174,35116100,201,18496,47611,5387241,173749,21657499,219684,25545805,246590,29256373,663884,76949116
80-99% OF MSA/MD MEDIAN,417170,62266452,102753,13870210,227307,32871653,95,10893,39086,5497193,131922,20119819,161406,22117181,175470,25861807,484830,68335966
100-119% OF MSA/MD MEDIAN,371513,61018792,70703,10172900,218212,34759831,46,5757,36549,6013263,120031,20936567,142668,21908888,157669,26896517,421339,67488133
120% OR MORE OF MSA/MD MEDIAN,1215659,232779376,104830,16126984,763444,144350873,77,16702,152853,43675121,478367,137074263,457523,100790817,617476,171748644,1397172,326845934
INCOME NOT AVAILABLE  6/,317124,55924398,317336,38232818,242956,37129199,125,19976,420585,71444732,194936,24784220,219151,36157180,258167,50093643,424530,79452130
CENSUS TRACT CHARACTERISTICS  10/,,,,,,,,,,,,,,,,,,
RACIAL/ETHNIC COMPOSITION  11/,,,,,,,,,,,,,,,,,,
LESS THAN 10% MINORITY,1087220,165836868,221704,26888289,755672,114675027,310,37178,189597,32561845,315997,57439727,343875,54405774,432133,83510470,938374,155159692
10-19% MINORITY,698849,114532731,180896,23565231,435625,71130232,123,15752,145093,29692977,245315,54741185,272740,47445891,332181,73928113,739718,138856724
20-49% MINORITY,815935,138600763,259705,33188109,442439,73533071,138,15782,206662,41226554,339652,71603929,377451,65676358,439509,93046537,1059225,196328741
50-79% MINORITY,291325,51109601,101065,12065238,133495,22345782,17,2351,96524,17782744,143713,28080804,159673,27134621,182535,36028825,493790,87571923
80-100% MINORITY,178470,29053676,65006,7935627,69709,10996701,26,5654,72160,11779734,101705,17057101,111766,17746606,148979,24318266,358217,58568916
INCOME  12/ 13/,,,,,,,,,,,,,,,,,,
LOW INCOME,39439,5797035,12261,1563638,15891,2358437,,,18724,2630300,20289,3166023,25279,3499297,32858,5188066,84442,12272762
MODERATE  INCOME,368439,51749416,144658,16583351,174096,23048307,79,9869,123009,17151024,171110,24923138,197903,26489884,231711,34567739,596051,84351528
MIDDLE INCOME,1567317,235689910,493270,60779319,938111,136775349,429,48601,348037,55053646,565251,90718352,624706,92970539,727031,121296183,1782947,279213823
UPPER INCOME,1095999,205762215,178077,24698099,708538,130430178,106,18247,220056,58154622,389376,109991895,417281,89370601,543288,149639028,1125007,260427110
,,,,,,,,,,,,,,,,,,
TOTAL  14/,3084386,500867526,830205,103916735,1851319,295070942,622,77220,712516,133415779,1154667,230015248,1271845,213285263,1539466,311423821,3625689,642195629
,,,,,,,,,,,,,,,,Report Date:,06/15/2005,
