"NATIONAL SUMMARY TABLE A3: DISPOSITION OF APPLICATIONS AND LOAN SALES BY LOAN TYPE, MULTIFAMILY, 2005",,,,,,,,,,,Page 1  of  1
,,,,,,,,,,,FINAL 2005 NATIONAL AGGREGATES
,,,HOME PURCHASE     ,,REFINANCE,,,,HOME IMPROVEMENT          ,,
LOAN TYPE,,FIRST LIEN ,JUNIOR LIEN,,FIRST LIEN ,JUNIOR LIEN,,,FIRST LIEN ,JUNIOR LIEN,NO LIEN
TOTAL APPLICATIONS   28/,,,,,,,,,,,
CONVENTIONAL ,,27191,722,,24324,,1068,,2535,1017,480
FHA,,82,1,,244,,,,,3,
VA,,,,,,,,,,,
FSA/RHS,,,,,1,,,,,,
LOANS ORIGINATED                                                ,,,,,,,,,,,
CONVENTIONAL ,,21572,570,,18906,,688,,2044,736,313
FHA,,47,1,,211,,,,,2,
VA,,,,,,,,,,,
FSA/RHS,,,,,1,,,,,,
APPLICATIONS APPROVED BUT NOT ACCEPTED,,,,,,,,,,,
CONVENTIONAL ,,991,39,,796,,23,,79,18,26
FHA,,8,,,7,,,,,,
VA,,,,,,,,,,,
FSA/RHS,,,,,,,,,,,
APPLICATIONS DENIED                                             ,,,,,,,,,,,
CONVENTIONAL ,,2357,43,,2195,,100,,223,130,95
FHA,,3,,,3,,,,,1,
VA,,,,,,,,,,,
FSA/RHS,,,,,,,,,,,
APPLICATIONS WITHDRAWN                                            ,,,,,,,,,,,
CONVENTIONAL ,,2021,66,,2201,,249,,172,131,44
FHA,,20,,,21,,,,,,
VA,,,,,,,,,,,
FSA/RHS,,,,,,,,,,,
FILES CLOSED FOR INCOMPLETENESS                                       ,,,,,,,,,,,
CONVENTIONAL ,,250,4,,226,,8,,17,2,2
FHA,,4,,,2,,,,,,
VA,,,,,,,,,,,
FSA/RHS,,,,,,,,,,,
MEMO ITEM: SUBSET OF LOANS ORIGINATED ,,,,,,,,,,,
LOANS SOLD ,,,,,,,,,,,
CONVENTIONAL ,,3679,151,,6383,,117,,382,29,3
FHA,,36,1,,126,,,,,,
VA,,,,,,,,,,,
FSA/RHS,,,,,1,,,,,,
,,,,,,,,,,Report Date:,06/17/2006
