"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
01,001,Autauga County,33860,AL,"$417,000","$533,850","$645,300","$801,950"
01,003,Baldwin County,19300,AL,"$417,000","$533,850","$645,300","$801,950"
01,005,Barbour County,21640,AL,"$417,000","$533,850","$645,300","$801,950"
01,007,Bibb County,13820,AL,"$417,000","$533,850","$645,300","$801,950"
01,009,Blount County,13820,AL,"$417,000","$533,850","$645,300","$801,950"
01,011,Bullock County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,013,Butler County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,015,Calhoun County,11500,AL,"$417,000","$533,850","$645,300","$801,950"
01,017,Chambers County,46740,AL,"$417,000","$533,850","$645,300","$801,950"
01,019,Cherokee County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,021,Chilton County,13820,AL,"$417,000","$533,850","$645,300","$801,950"
01,023,Choctaw County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,025,Clarke County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,027,Clay County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,029,Cleburne County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,031,Coffee County,21460,AL,"$417,000","$533,850","$645,300","$801,950"
01,033,Colbert County,22520,AL,"$417,000","$533,850","$645,300","$801,950"
01,035,Conecuh County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,037,Coosa County,10760,AL,"$417,000","$533,850","$645,300","$801,950"
01,039,Covington County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,041,Crenshaw County,99999,AL,"$417,000","$533,850","$645,300","$801,950"
01,043,Cullman County,18980,AL,"$417,000","$533,850","$645,300","$801,950"
01,045,Dale County,21460,AL,"$417,000","$533,850","$645,300","$801,950"
