state,yr,qtr,index_nsa,index_sa,note
AK,1991,1,100,100,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1991,2,99.53,99.27,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1991,3,101.39,100.78,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1991,4,99.97,100.47,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1992,1,101.63,101.62,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1992,2,102.93,102.63,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1992,3,104.41,103.79,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1992,4,104.01,104.6,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1993,1,103.42,103.38,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1993,2,106.54,106.16,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1993,3,107.49,106.91,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1993,4,109.45,110.1,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1994,1,111.33,111.27,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1994,2,112.55,112.06,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1994,3,113.79,113.25,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1994,4,112.63,113.31,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1995,1,115.31,115.26,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1995,2,117.48,116.9,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1995,3,118.69,118.19,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1995,4,118.75,119.4,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1996,1,122.15,122.21,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1996,2,123.19,122.54,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1996,3,121.76,121.22,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1996,4,124.4,125.02,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1997,1,124.17,124.39,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1997,2,125.95,125.21,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1997,3,127.27,126.67,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1997,4,126.94,127.46,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1998,1,127.9,128.35,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1998,2,131.21,130.37,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1998,3,132.49,131.82,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1998,4,134.14,134.58,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1999,1,133.54,134.24,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1999,2,135.83,134.89,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1999,3,137.07,136.32,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,1999,4,135.5,135.9,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2000,1,136.81,137.66,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
