cd,yr,qtr,index_nsa,index_sa,note
DV_ENC,1991,1,100,100,
DV_ENC,1991,2,101.34,100.53,
DV_ENC,1991,3,102.1,101.23,
DV_ENC,1991,4,102.78,102.36,
DV_ENC,1992,1,103.89,103.91,
DV_ENC,1992,2,105.6,104.74,
DV_ENC,1992,3,106.7,105.8,
DV_ENC,1992,4,107.52,107.07,
DV_ENC,1993,1,107.57,107.62,
DV_ENC,1993,2,110.22,109.29,
DV_ENC,1993,3,111.75,110.8,
DV_ENC,1993,4,112.8,112.33,
DV_ENC,1994,1,114.02,114.1,
DV_ENC,1994,2,116.53,115.51,
DV_ENC,1994,3,117.85,116.85,
DV_ENC,1994,4,118.89,118.4,
DV_ENC,1995,1,119.93,120.03,
DV_ENC,1995,2,122.63,121.53,
DV_ENC,1995,3,124.39,123.33,
DV_ENC,1995,4,125.53,125.04,
DV_ENC,1996,1,126.64,126.74,
DV_ENC,1996,2,129.54,128.36,
DV_ENC,1996,3,130.66,129.56,
DV_ENC,1996,4,131.35,130.84,
DV_ENC,1997,1,131.98,132.06,
DV_ENC,1997,2,134.58,133.37,
DV_ENC,1997,3,135.95,134.81,
DV_ENC,1997,4,136.24,135.7,
DV_ENC,1998,1,137.07,137.12,
DV_ENC,1998,2,139.64,138.44,
DV_ENC,1998,3,141.07,139.9,
DV_ENC,1998,4,142.59,141.98,
DV_ENC,1999,1,143.72,143.76,
DV_ENC,1999,2,147.03,145.83,
DV_ENC,1999,3,149.36,148.09,
DV_ENC,1999,4,150.69,150,
DV_ENC,2000,1,152.37,152.4,
DV_ENC,2000,2,155.21,154.03,
DV_ENC,2000,3,157.23,155.84,
DV_ENC,2000,4,158.54,157.75,
DV_ENC,2001,1,159.71,159.8,
DV_ENC,2001,2,162.39,161.19,
DV_ENC,2001,3,164.46,162.93,
DV_ENC,2001,4,165.34,164.5,
DV_ENC,2002,1,165.72,165.92,
DV_ENC,2002,2,168.87,167.61,
DV_ENC,2002,3,170.89,169.21,
DV_ENC,2002,4,171.65,170.76,
DV_ENC,2003,1,172.47,172.82,
DV_ENC,2003,2,175.69,174.32,
DV_ENC,2003,3,177.44,175.62,
DV_ENC,2003,4,178.6,177.68,
DV_ENC,2004,1,177.88,178.4,
DV_ENC,2004,2,181.79,180.29,
DV_ENC,2004,3,183.76,181.74,
DV_ENC,2004,4,184.65,183.73,
DV_ENC,2005,1,185.15,185.87,
DV_ENC,2005,2,188.96,187.32,
DV_ENC,2005,3,190.75,188.41,
DV_ENC,2005,4,190.72,189.83,
DV_ENC,2006,1,189.64,190.68,
DV_ENC,2006,2,192.32,190.6,
DV_ENC,2006,3,192.59,189.82,
DV_ENC,2006,4,189.92,189.11,
DV_ENC,2007,1,187.15,188.63,
DV_ENC,2007,2,186.7,184.95,
DV_ENC,2007,3,183.86,180.76,
DV_ENC,2007,4,176.85,176.06,
DV_ENC,2008,1,170.28,172.19,
DV_ENC,2008,2,169.31,167.58,
DV_ENC,2008,3,166,162.83,
DV_ENC,2008,4,155.79,154.97,
DV_ENC,2009,1,149.01,151.17,
DV_ENC,2009,2,150.95,149.23,
DV_ENC,2009,3,151.95,148.75,
DV_ENC,2009,4,150.16,149.2,
DV_ENC,2010,1,145.29,147.8,
DV_ENC,2010,2,149.71,147.76,
DV_ENC,2010,3,146.09,142.89,
DV_ENC,2010,4,143.12,142.2,
DV_ENC,2011,1,136.95,139.55,
DV_ENC,2011,2,139.98,137.97,
DV_ENC,2011,3,141.98,138.75,
DV_ENC,2011,4,139.19,138.43,
DV_ENC,2012,1,136.56,139.22,
DV_ENC,2012,2,142.89,140.61,
DV_ENC,2012,3,144.81,141.47,
DV_ENC,2012,4,143.99,143.4,
DV_ENC,2013,1,143.04,145.76,
DV_ENC,2013,2,151.04,148.47,
DV_ENC,2013,3,154.39,150.81,
DV_ENC,2013,4,153.06,152.67,
DV_ENC,2014,1,151.88,154.6,
DV_ENC,2014,2,160.09,157.23,
DV_ENC,2014,3,163.59,159.91,
DV_ENC,2014,4,161.4,161.13,
DV_ENC,2015,1,160.78,163.39,
DV_ENC,2015,2,168.59,165.56,
DV_ENC,2015,3,170.42,166.76,
DV_ENC,2015,4,168.83,168.58,
DV_ENC,2016,1,169.22,171.62,
DV_ENC,2016,2,176.89,173.8,
DV_ENC,2016,3,180.25,176.58,
DV_ENC,2016,4,179.8,179.45,
DV_ENC,2017,1,179.99,182.24,
DV_ENC,2017,2,187.93,184.81,
DV_ENC,2017,3,192.04,188.32,
DV_ENC,2017,4,192.73,192.23,
DV_ENC,2018,1,193.75,195.95,
DV_ENC,2018,2,202.22,199,
DV_ENC,2018,3,206.01,202.14,
DV_ENC,2018,4,205.86,205.2,
DV_ENC,2019,1,205.71,207.95,
DV_ESC,1991,1,100,100,
DV_ESC,1991,2,100.7,100.48,
DV_ESC,1991,3,101,100.65,
DV_ESC,1991,4,102.06,101.79,
DV_ESC,1992,1,103.19,103.2,
DV_ESC,1992,2,103.76,103.53,
DV_ESC,1992,3,104.98,104.6,
DV_ESC,1992,4,106.07,105.78,
DV_ESC,1993,1,106.44,106.48,
DV_ESC,1993,2,108.24,107.99,
DV_ESC,1993,3,109.63,109.19,
DV_ESC,1993,4,110.76,110.47,
DV_ESC,1994,1,112.03,112.11,
DV_ESC,1994,2,113.85,113.58,
DV_ESC,1994,3,115.13,114.63,
DV_ESC,1994,4,116.17,115.87,
DV_ESC,1995,1,117.67,117.78,
DV_ESC,1995,2,119.62,119.33,
DV_ESC,1995,3,121.27,120.7,
DV_ESC,1995,4,122.48,122.2,
DV_ESC,1996,1,122.39,122.52,
DV_ESC,1996,2,124.84,124.51,
DV_ESC,1996,3,126.42,125.82,
DV_ESC,1996,4,126.93,126.65,
DV_ESC,1997,1,128.17,128.31,
DV_ESC,1997,2,129.09,128.73,
DV_ESC,1997,3,130.76,130.15,
DV_ESC,1997,4,133.58,133.31,
DV_ESC,1998,1,134.35,134.48,
DV_ESC,1998,2,137.01,136.58,
DV_ESC,1998,3,138.69,138.07,
DV_ESC,1998,4,140.02,139.75,
DV_ESC,1999,1,141.38,141.53,
DV_ESC,1999,2,143.91,143.39,
DV_ESC,1999,3,145.41,144.8,
DV_ESC,1999,4,146.68,146.41,
DV_ESC,2000,1,148.17,148.35,
DV_ESC,2000,2,149.81,149.22,
DV_ESC,2000,3,150.86,150.26,
DV_ESC,2000,4,151.59,151.27,
DV_ESC,2001,1,152.08,152.31,
DV_ESC,2001,2,154.19,153.54,
DV_ESC,2001,3,154.93,154.32,
DV_ESC,2001,4,155.84,155.49,
DV_ESC,2002,1,155.96,156.24,
DV_ESC,2002,2,157.98,157.32,
DV_ESC,2002,3,158.99,158.34,
DV_ESC,2002,4,159.89,159.51,
DV_ESC,2003,1,160.99,161.32,
DV_ESC,2003,2,163.15,162.47,
DV_ESC,2003,3,164.97,164.24,
DV_ESC,2003,4,166.31,165.93,
DV_ESC,2004,1,166.39,166.77,
DV_ESC,2004,2,169.72,169,
DV_ESC,2004,3,172.45,171.61,
DV_ESC,2004,4,174.42,174.04,
DV_ESC,2005,1,176.81,177.34,
DV_ESC,2005,2,180.08,179.26,
DV_ESC,2005,3,183.6,182.56,
DV_ESC,2005,4,186.53,186.16,
DV_ESC,2006,1,189.15,189.96,
DV_ESC,2006,2,192.84,191.84,
DV_ESC,2006,3,194.28,193,
DV_ESC,2006,4,195.12,194.71,
DV_ESC,2007,1,195.2,196.4,
DV_ESC,2007,2,197.44,196.23,
DV_ESC,2007,3,196.41,194.95,
DV_ESC,2007,4,193.67,193.24,
DV_ESC,2008,1,189.86,191.41,
DV_ESC,2008,2,190.56,189.2,
DV_ESC,2008,3,188.05,186.51,
DV_ESC,2008,4,182.06,181.61,
DV_ESC,2009,1,176.38,178.14,
DV_ESC,2009,2,178.98,177.53,
DV_ESC,2009,3,179.07,177.51,
DV_ESC,2009,4,177.87,177.45,
DV_ESC,2010,1,171.47,173.39,
DV_ESC,2010,2,174.49,172.95,
DV_ESC,2010,3,169.43,167.88,
DV_ESC,2010,4,167.78,167.46,
DV_ESC,2011,1,163.99,165.91,
DV_ESC,2011,2,166.34,164.75,
DV_ESC,2011,3,165.8,164.23,
DV_ESC,2011,4,164.07,163.9,
DV_ESC,2012,1,163.39,165.26,
DV_ESC,2012,2,165.96,164.27,
DV_ESC,2012,3,166.74,165.14,
DV_ESC,2012,4,167.59,167.59,
DV_ESC,2013,1,166,167.77,
DV_ESC,2013,2,171.38,169.58,
DV_ESC,2013,3,174.27,172.59,
DV_ESC,2013,4,171.47,171.61,
DV_ESC,2014,1,171.99,173.69,
DV_ESC,2014,2,177.58,175.72,
DV_ESC,2014,3,179.42,177.7,
DV_ESC,2014,4,179.29,179.52,
DV_ESC,2015,1,179.96,181.59,
DV_ESC,2015,2,185.7,183.79,
DV_ESC,2015,3,186.13,184.41,
DV_ESC,2015,4,186.66,186.91,
DV_ESC,2016,1,187.7,189.27,
DV_ESC,2016,2,193.4,191.5,
DV_ESC,2016,3,195.77,194,
DV_ESC,2016,4,197.04,197.28,
DV_ESC,2017,1,197.96,199.47,
DV_ESC,2017,2,204.16,202.26,
DV_ESC,2017,3,207.29,205.44,
DV_ESC,2017,4,207.87,208.05,
DV_ESC,2018,1,210.56,212.09,
DV_ESC,2018,2,216.39,214.5,
DV_ESC,2018,3,220.28,218.28,
DV_ESC,2018,4,220.74,220.9,
DV_ESC,2019,1,222.06,223.62,
DV_MA,1991,1,100,100,
DV_MA,1991,2,100,99.55,
DV_MA,1991,3,100.18,99.22,
DV_MA,1991,4,100.92,100.28,
DV_MA,1992,1,101.31,101.36,
DV_MA,1992,2,101.68,101.19,
DV_MA,1992,3,102.24,101.23,
DV_MA,1992,4,102.93,102.29,
DV_MA,1993,1,101.18,101.32,
DV_MA,1993,2,102.21,101.66,
DV_MA,1993,3,102.8,101.72,
DV_MA,1993,4,103.01,102.42,
