FHFBID,District,Member Name,City,State,Zip,Member Type,Charter Type,FDIC Certificate Number,Federal Reserve ID,OTS Docket Number ,Credit Union Charter Number ,Approval Date,,
00007,Atlanta,Piedmont FS & LA,Winston Salem,NC,27101,Savings and Loan,Federal,27619,,00007,,,,
00016,Dallas,State-Investors Bank,Metairie,LA,70005,Savings and Loan,Federal,27626,,00016,,,,
00039,Cincinnati,Advantage Bank,Cambridge,OH,43725,Commercial Bank,State,29864,0834979,,,,,
00041,Cincinnati,First FS & LA,Galion,OH,44833,Savings and Loan,Federal,27643,,00041,,,,
00057,Dallas,Home Federal Bank,Shreveport,LA,71101,Savings and Loan,Federal,27654,,00057,,,,
00073,Chicago,"Sterling Federal Bank, F.S.B.",Sterling,IL,61081,Savings and Loan,Federal,27664,,00073,,,,
00100,Dallas,First Federal Community Bank,Paris,TX,75460,Savings and Loan,Federal,27678,,00100,,,,
00108,Chicago,North Shore Trust and Savings,Waukegan,IL,60085,Savings Bank,Federal,27683,,00108,,,,
00110,Chicago,Flora Savings Bank,Flora,IL,62839,Savings Bank,State,27685,0776275,,,,,
00111,Pittsburgh,Slovenian S & LA of Canonsburg,Strabane,PA,15363,Savings and Loan,State,27686,,00111,,,,
00133,Dallas,Fifth District Savings Bank,New Orleans,LA,70114,Savings Bank,Federal,27697,,00133,,,,
00143,Atlanta,Wake Forest FS & LA,Wake Forest,NC,27587,Savings and Loan,Federal,27704,,00143,,,,
00148,Pittsburgh,ESB Bank,Ellwood City,PA,16117,Savings Bank,State,27708,0224178,,,,,
00153,Pittsburgh,Altoona First Savings Bank,Altoona,PA,16603,Savings Bank,State,27711,0777870,,,,,
00165,Dallas,Mutual Savings and Loan Association,Metairie,LA,70006,Savings and Loan,State,27716,,00165,,,,
00175,Chicago,"Security Bank, s.b.",Springfield,IL,62701,Savings Bank,State,27723,0218878,,,,,
00179,Topeka,Lyons Federal Bank,Lyons,KS,67554,Savings and Loan,Federal,27727,,00179,,,,
00207,Indianapolis,MUTUAL SAVINGS BANK,Franklin,IN,46131,Savings Bank,State,27742,0841472,,,,,
00210,Indianapolis,MutualBank,Muncie,IN,47305,Savings Bank,Federal,27744,,00210,,,,
00221,Dallas,Union S & LA,New Orleans,LA,70130,Savings and Loan,State,27752,,00221,,,,
00230,Pittsburgh,"Standard Bank, PASB",Murrysville,PA,15668,Savings Bank,State,27757,0811279,,,,,
00234,Pittsburgh,"West View Savings Bank, PASA",Pittsburgh,PA,15237,Savings Bank,State,27760,0842376,,,,,
00239,Pittsburgh,Indiana First Savings Bank,Indiana,PA,15701,Savings Bank,State,27763,0904171,,,,,
00244,Chicago,Union FS & LA,Kewanee,IL,61443,Savings and Loan,Federal,27767,,00244,,,,
00257,Des Moines,Gate City Bank,Fargo,ND,58102,Savings Bank,Federal,27774,,00257,,,,
00295,Atlanta,Citizens First Bank,Rome,GA,30161,Commercial Bank,State,27797,0634272,,,,,
00299,Pittsburgh,"William Penn Bank, FSB",Levittown,PA,19057,Savings Bank,Federal,27799,,00299,,,,
00311,Cincinnati,Fairfield FS & LA,Lancaster,OH,43130,Savings and Loan,Federal,27806,,00311,,,,
00313,Cincinnati,Bramble Savings Bank,Milford,OH,45150,Savings Bank,State,27808,0666273,,,,,
00349,Boston,Salem Co-op Bk,Salem,NH,03079,Savings and Loan,State,27824,,00349,,,,
00358,Chicago,A J Smith Federal Savings Bank,Midlothian,IL,60445,Savings Bank,Federal,27831,,00358,,,,
00373,Indianapolis,"NEWTON COUNTY LOAN & SAVINGS, FSB",Goodland,IN,47948,Savings Bank,Federal,27840,,00373,,,,
00375,Cincinnati,Citizens FS & LA,Covington,KY,41011,Savings and Loan,Federal,27841,,00375,,,,
00384,Cincinnati,The Pioneer Savings Bank,Cleveland,OH,44102,Savings Bank,State,27847,0643274,,,,,
00391,Topeka,First Fs&la of Independence,Independence,KS,67301,Savings and Loan,Federal,27852,,00391,,,,
00412,Chicago,First FS & LA,Mattoon,IL,61938,Savings and Loan,Federal,27858,,00412,,,,
00416,Pittsburgh,Malvern Federal Savings Bank,Paoli,PA,19301,Savings Bank,Federal,27861,,00416,,,,
00450,Dallas,Pioneer Bank,Roswell,NM,88201,Savings Bank,Federal,27872,,00450,,,,
00458,Cincinnati,Kentucky FS & LA,Covington,KY,41012,Savings and Loan,Federal,27877,,00458,,,,
00470,Pittsburgh,HUNTINGTON FS & LA,Huntington,WV,25701,Savings Bank,Federal,27884,,00470,,,,
00489,Atlanta,OBA Bank,Germantown,MD,20876,Savings Bank,Federal,27889,,00489,,,,
00495,Pittsburgh,Progressive-Home FS & LA,Pittsburgh,PA,15210,Savings and Loan,Federal,27894,,00495,,,,
00507,Atlanta,"Black Mountain Savings Bank, S.S.B.",Black Mountain,NC,28711,Savings Bank,State,27897,0444677,,,,,
00508,Des Moines,"Home Savings & Loan Association of Norborne, F.A.",Norborne,MO,64668,Savings and Loan,Federal,27898,,00508,,,,
00528,Chicago,Home FS & LA of Collinsville,Collinsville,IL,62234,Savings and Loan,Federal,27909,,00528,,,,
00529,Chicago,Central FS & LA of Chicago,Chicago,IL,60657,Savings and Loan,Federal,27910,,00529,,,,
00544,Boston,Foxboro Federal Savings,Foxborough,MA,02035,Savings and Loan,Federal,27918,,00544,,,,
00566,Des Moines,RiverWood Bank,Bemidji,MN,56601,Savings Bank,Federal,27932,,00566,,,,
00571,Chicago,First Chicago Bank and Trust,Chicago,IL,60641,Commercial Bank,State,27935,0686271,,,,,
00584,Pittsburgh,Abington Bank,Jenkintown,PA,19046,Savings Bank,State,27942,0442776,,,,,
00587,Pittsburgh,Brentwood Bank,Pittsburgh,PA,15227,Savings Bank,State,27943,0534877,,,,,
00597,Cincinnati,Cheviot Savings Bank,Cincinnati,OH,45211,Savings and Loan,State,27946,,00597,,,,
00641,Cincinnati,Greenville Federal,Greenville,OH,45331,Savings Bank,Federal,27965,,00641,,,,
00644,Cincinnati,Mt. Washington Savings & Loan,Cincinnati,OH,45230,Savings and Loan,State,27968,,00644,,,,
00646,Cincinnati,Community Savings,Caldwell,OH,43724,Savings Bank,Federal,27969,,00646,,,,
00670,Topeka,Capitol Federal Savings Bank,Topeka,KS,66603,Savings Bank,Federal,27981,,00670,,,,
00679,Chicago,Second FS & LA of Chicago,Chicago,IL,60623,Savings and Loan,Federal,27986,,00679,,,,
00685,Chicago,Ottawa Savings Bank,Ottawa,IL,61350,Savings Bank,Federal,27989,,17997,,,,
00691,Chicago,Prospect Federal Savings Bank,Worth,IL,60482,Savings Bank,Federal,27993,,00691,,,,
00709,Cincinnati,GUARDIAN SAVINGS BANK FSB,Cincinnati,OH,45239,Savings Bank,Federal,27998,,00709,,,,
00773,Atlanta,Belmont FS & LA,Belmont,NC,28012,Savings and Loan,Federal,28035,,00773,,,,
00784,Pittsburgh,"Fidelity Savings Bank, PASA",Pittsburgh,PA,15212,Savings Bank,State,28038,0736877,,,,,
00805,Chicago,Park Federal Savings Bank,Chicago,IL,60632,Savings Bank,Federal,28053,,00805,,,,
00824,Cincinnati,Citizens FS & LA,Bellefontaine,OH,43311,Savings and Loan,Federal,28060,,00824,,,,
00827,Cincinnati,The Covington S & LA,Covington,OH,45318,Savings and Loan,State,28063,,00827,,,,
00837,Chicago,Royal Savings Bank,Chicago,IL,60617,Savings Bank,State,28068,0649874,,,,,
00866,Cincinnati,The Harrison B & La,Harrison,OH,45030,Savings and Loan,State,28080,,00866,,,,
00871,Cincinnati,Nelsonville Home and Savings,Nelsonville,OH,45764,Savings Bank,State,28085,0840578,,,,,
00880,Seattle,Washington FS & LA,Seattle,WA,98101,Savings and Loan,Federal,28088,,00880,,,,
00887,Des Moines,Home Federal Bank,Sioux Falls,SD,57104,Savings Bank,Federal,28092,,00887,,,,
00890,Dallas,Home Bank,Lafayette,LA,70508,Savings Bank,Federal,28094,,00890,,,,
00898,Dallas,Iberiabank,Lafayette,LA,70501,Commercial Bank,State,28100,0808176,,,,,
00904,Chicago,Collinsville Building and Loan Association,Collinsville,IL,62234,Savings and Loan,Federal,28103,,00904,,,,
00906,Chicago,"First Robinson Savings Bank, National Association",Robinson,IL,62454,Commercial Bank,National,28105,0660271,,,,,
00919,Cincinnati,Home Savings and Loan Company,Youngstown,OH,44503,Savings Bank,State,28114,0932277,,,,,
00921,Seattle,Yakima FS & LA,Yakima,WA,98901,Savings and Loan,Federal,28116,,00921,,,,
00940,New York,GCF Bank,Sewell,NJ,08080,Savings Bank,Federal,28126,,00940,,,,
00955,Pittsburgh,Cambria County FS & LA,Cresson,PA,16630,Savings and Loan,Federal,28134,,00955,,,,
00962,Pittsburgh,Eureka Bank,Pittsburgh,PA,15213,Savings and Loan,Federal,28135,,00962,,,,
00966,Indianapolis,"MAINSTREET SAVINGS BANK, FSB",Hastings,MI,49058,Savings Bank,Federal,28136,,00966,,,,
00972,Atlanta,"Security Savings Bank, SSB",Southport,NC,28461,Savings Bank,State,28139,0853372,,,,,
01001,Chicago,West Town Savings Bank,Cicero,IL,60650,Savings Bank,State,28151,0857576,,,,,
01007,Boston,"PROFILE BANK, FSB",Rochester,NH,03867,Savings Bank,Federal,28155,,01007,,,,
01016,Cincinnati,The Cincinnatus Savings & Loan Co.,Cincinnati,OH,45211,Savings and Loan,State,28157,,01016,,,,
01039,Boston,EASTERN FEDERAL BANK,Norwich,CT,06360,Savings Bank,Federal,28167,,01039,,,,
01067,Pittsburgh,Northwest Savings Bank,Warren,PA,16365,Savings Bank,State,28178,1002878,,,,,
