,,,,,,,,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Type,Year,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,,,,,,,,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,,,,,,,,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,,,,,,,,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Property Types,1985,11.93,2.56,12.43,24.1,65.3,93.3,73.5,,,,,,,,,,,,,,,,,,,,
All Property Types,1986,10.09,2.31,10.50,24.9,75.5,107.7,73.2,,,,,,,,,,,,,,,,,,,,
All Property Types,1987,9.52,2.18,9.90,25.5,81.9,114.8,73.9,,,,,,,,,,,,,,,,,,,,
All Property Types,1988,10.04,2.07,10.41,26.0,82.8,117.3,73.7,,,,,,,,,,,,,,,,,,,,
All Property Types,1989,10.21,1.92,10.54,27.0,96.7,135.2,73.7,,,,,,,,,,,,,,,,,,,,
All Property Types,1990,10.06,1.87,10.39,26.1,97.4,136.1,73.9,,,,,,,,,,,,,,,,,,,,
All Property Types,1991,9.38,1.63,9.66,25.8,101.0,141.7,73.8,,,,,,,,,,,,,,,,,,,,
All Property Types,1992,8.21,1.61,8.50,24.4,104.4,141.4,76.5,,,,,,,,,,,,,,,,,,,,
All Property Types,1993,7.27,1.21,7.48,24.7,101.9,136.7,77.3,,,,,,,,,,,,,,,,,,,,
All Property Types,1994,7.98,1.14,8.17,25.8,96.1,125.3,79.7,,,,,,,,,,,,,,,,,,,,
All Property Types,1995,8.01,1.01,8.18,26.5,99.4,129.9,79.5,,,,,,,,,,,,,,,,,,,,
All Property Types,1996,7.81,1.03,7.98,26.1,107.2,141.6,78.6,,,,,,,,,,,,,,,,,,,,
All Property Types,1997,7.73,1.01,7.89,26.9,118.7,155.0,79.3,,,,,,,,,,,,,,,,,,,,
All Property Types,1998,7.05,0.86,7.19,27.5,124.9,164.3,79.0,,,,,,,,,,,,,,,,,,,,
All Property Types,1999,7.32,0.78,7.44,27.8,126.4,167.4,78.6,,,,,,,,,,,,,,,,,,,,
All Property Types,2000,8.14,0.75,8.25,28.3,129.2,174.0,77.9,,,,,,,,,,,,,,,,,,,,
All Property Types,2001,7.03,0.56,7.11,27.3,143.9,200.4,76.1,,,,,,,,,,,,,,,,,,,,
All Property Types,2002,6.62,0.48,6.69,26.8,148.9,214.0,74.6,,,,,,,,,,,,,,,,,,,,
All Property Types,2003,5.83,0.37,5.88,26.2,155.4,230.7,72.5,,,,,,,,,,,,,,,,,,,,
All Property Types,2004,5.95,0.43,6.02,26.9,158.2,234.5,73.0,,,,,,,,,,,,,,,,,,,,
All Property Types,2005,6.00,0.42,6.07,27.9,183.0,266.3,73.9,,,,,,,,,,,,,,,,,,,,
All Property Types,2006,6.60,0.44,6.66,28.7,200.3,279.4,76.4,,,,,,,,,,,,,,,,,,,,
All Property Types,2007,6.44,0.48,6.51,29.2,210.7,283.1,79.4,,,,,,,,,,,,,,,,,,,,
All Property Types,2008,6.09,0.54,6.17,28.3,213.1,296.9,76.8,,,,,,,,,,,,,,,,,,,,
