,,,,,,,,,,,,,,,,,,,,
"Monthly House Price Indexes for Census Divisions and U.S.
Purchase-Only Index (Only Index available with Monthly Frequency)

NSA=Not Seasonally Adjusted; SA=Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/91,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/91,100.99,101.07,100.84,100.40,100.00,100.18,98.44,98.64,101.92,102.54,100.22,100.52,100.54,100.40,100.63,100.50,99.92,99.71,100.42,100.45
3/1/91,101.37,101.00,101.00,100.58,99.92,99.75,100.13,100.52,101.70,101.46,100.00,100.13,101.01,100.60,100.42,99.99,100.81,100.54,100.71,100.49
4/1/91,101.75,101.04,100.89,100.58,99.37,99.08,100.46,100.35,101.06,100.99,100.17,100.06,100.96,100.48,100.92,100.29,100.41,100.08,100.71,100.32
5/1/91,102.39,101.44,101.21,100.77,99.58,99.13,100.74,100.39,99.79,99.84,100.39,100.11,100.83,100.57,100.69,100.07,100.90,100.33,100.87,100.39
6/1/91,102.82,101.56,102.14,101.57,99.66,98.82,102.19,101.47,99.21,98.70,100.44,99.88,101.34,100.67,101.49,100.42,102.04,100.95,101.38,100.52
7/1/91,103.02,101.94,101.97,101.57,100.13,99.07,101.50,101.28,99.22,98.79,100.46,99.84,101.03,100.47,101.37,100.29,101.75,100.82,101.32,100.55
8/1/91,103.18,102.13,101.64,100.75,99.62,98.61,101.91,101.30,98.43,98.00,100.76,99.95,100.80,100.03,101.82,100.61,101.50,100.55,101.26,100.37
9/1/91,102.87,102.06,101.96,101.17,100.18,99.26,101.89,101.54,100.01,99.15,100.39,99.62,100.75,100.10,101.69,100.77,102.14,101.45,101.38,100.62
10/1/91,103.09,102.41,101.97,101.64,99.97,98.97,103.22,102.53,99.30,98.81,100.91,100.34,101.68,100.95,101.90,101.36,101.39,100.66,101.60,100.93
11/1/91,104.00,103.38,102.96,102.36,100.93,100.08,104.14,103.83,98.39,97.45,100.88,100.60,102.19,101.33,101.94,101.43,101.98,101.34,102.12,101.48
12/1/91,103.75,103.45,103.50,103.28,100.64,100.31,103.62,103.42,99.09,98.73,101.06,100.66,101.92,101.58,102.96,102.48,102.09,101.85,102.16,101.84
1/1/92,103.93,103.95,103.35,103.36,100.68,100.71,104.34,104.41,99.85,99.87,100.97,100.96,101.92,101.91,102.46,102.47,102.38,102.38,102.25,102.26
2/1/92,104.41,104.48,104.68,104.25,101.71,101.94,105.07,105.30,99.83,100.48,101.08,101.39,102.83,102.68,103.03,102.91,103.48,103.28,102.95,102.99
3/1/92,105.57,105.20,104.41,103.98,101.33,101.18,105.63,106.02,99.68,99.46,100.66,100.79,102.73,102.33,103.99,103.52,102.75,102.50,103.03,102.81
4/1/92,106.01,105.28,103.86,103.54,101.10,100.82,105.81,105.67,98.50,98.45,100.41,100.28,102.29,101.81,104.18,103.51,103.13,102.77,102.94,102.54
5/1/92,106.62,105.64,104.45,104.02,100.85,100.36,106.70,106.30,97.60,97.63,100.55,100.25,102.32,102.06,104.47,103.77,103.23,102.60,103.12,102.62
6/1/92,107.02,105.70,104.89,104.25,101.20,100.31,107.69,106.91,97.12,96.54,100.33,99.73,102.54,101.85,105.33,104.18,104.09,103.00,103.48,102.58
7/1/92,107.18,106.05,105.38,104.92,101.40,100.28,107.49,107.18,97.33,96.78,100.69,100.02,102.87,102.26,105.81,104.64,104.21,103.26,103.73,102.90
8/1/92,107.61,106.50,106.42,105.46,101.38,100.28,108.73,108.02,98.22,97.74,101.00,100.16,103.89,103.07,106.11,104.82,105.01,104.02,104.34,103.39
9/1/92,107.64,106.79,106.82,106.01,102.15,101.21,108.82,108.41,98.50,97.66,101.04,100.25,104.26,103.59,106.43,105.43,104.91,104.18,104.57,103.78
10/1/92,108.25,107.51,107.03,106.65,102.38,101.37,110.12,109.41,98.54,98.08,100.12,99.58,104.45,103.73,106.18,105.58,105.64,104.91,104.77,104.08
11/1/92,108.53,107.91,107.00,106.39,102.93,102.14,110.39,110.08,99.44,98.54,99.90,99.64,104.39,103.53,106.56,105.98,106.27,105.60,105.01,104.37
12/1/92,108.83,108.53,107.08,106.85,101.57,101.28,111.45,111.24,97.76,97.46,99.60,99.23,103.63,103.30,106.74,106.23,105.31,105.09,104.59,104.28
1/1/93,108.57,108.62,107.10,107.10,100.84,100.91,111.86,112.01,96.70,96.69,98.71,98.73,103.43,103.37,107.41,107.45,105.37,105.37,104.32,104.34
2/1/93,108.37,108.43,106.96,106.59,100.41,100.75,111.95,112.24,94.72,95.38,97.71,98.06,103.35,103.21,107.83,107.74,105.72,105.52,104.03,104.10
3/1/93,109.31,108.98,108.51,108.05,100.76,100.65,112.12,112.53,95.59,95.44,98.19,98.32,104.15,103.77,107.31,106.81,106.40,106.15,104.66,104.45
4/1/93,110.34,109.56,108.77,108.40,101.69,101.40,114.11,113.91,96.60,96.56,98.45,98.30,105.04,104.56,108.93,108.23,106.96,106.58,105.53,105.11
5/1/93,110.94,109.91,109.34,108.87,102.27,101.71,115.28,114.80,96.28,96.18,98.21,97.91,104.80,104.52,109.67,108.87,107.77,107.05,105.87,105.30
