"HPI for Counties (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,
,,,,,,,
"* These annual county indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the county area, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect the native county index, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state, Column B is the county name, Column C is the county's FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a county HPI has a missing value in Column F in 1990 or 2000 then the county HPI will have blank values in Column G or H, respectively.",,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,
"Last updated: April 19, 2019.",,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,
State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
AL,Autauga,01001,1986,.,100.00,95.37,70.91
AL,Autauga,01001,1987,-2.31,97.69,93.16,69.27
AL,Autauga,01001,1988,3.36,100.97,96.29,71.60
AL,Autauga,01001,1989,4.26,105.27,100.40,74.65
AL,Autauga,01001,1990,-0.40,104.86,100.00,74.35
AL,Autauga,01001,1991,2.68,107.67,102.68,76.35
AL,Autauga,01001,1992,2.87,110.76,105.63,78.54
AL,Autauga,01001,1993,3.41,114.54,109.24,81.22
AL,Autauga,01001,1994,4.32,119.49,113.96,84.73
AL,Autauga,01001,1995,3.52,123.70,117.97,87.72
AL,Autauga,01001,1996,2.65,126.98,121.10,90.04
AL,Autauga,01001,1997,3.41,131.30,125.22,93.11
AL,Autauga,01001,1998,3.30,135.64,129.35,96.18
AL,Autauga,01001,1999,1.53,137.72,131.34,97.66
AL,Autauga,01001,2000,2.40,141.02,134.49,100.00
AL,Autauga,01001,2001,3.47,145.92,139.16,103.47
AL,Autauga,01001,2002,2.51,149.58,142.65,106.07
AL,Autauga,01001,2003,1.75,152.20,145.15,107.92
AL,Autauga,01001,2004,2.59,156.14,148.91,110.72
AL,Autauga,01001,2005,7.23,167.43,159.67,118.72
AL,Autauga,01001,2006,7.49,179.97,171.64,127.62
AL,Autauga,01001,2007,4.45,187.98,179.27,133.30
AL,Autauga,01001,2008,0.04,188.04,179.33,133.34
AL,Autauga,01001,2009,-2.16,183.98,175.46,130.46
AL,Autauga,01001,2010,-2.95,178.56,170.29,126.62
AL,Autauga,01001,2011,-2.51,174.08,166.01,123.44
AL,Autauga,01001,2012,-3.05,168.77,160.95,119.68
AL,Autauga,01001,2013,0.55,169.70,161.84,120.34
AL,Autauga,01001,2014,0.68,170.85,162.93,121.15
AL,Autauga,01001,2015,0.99,172.54,164.55,122.35
AL,Autauga,01001,2016,1.67,175.43,167.30,124.40
AL,Autauga,01001,2017,2.53,179.87,171.54,127.55
AL,Autauga,01001,2018,0.39,180.57,172.20,128.04
AL,Baldwin,01003,1977,.,100.00,68.76,41.59
AL,Baldwin,01003,1978,2.05,102.05,70.17,42.44
AL,Baldwin,01003,1979,3.15,105.27,72.38,43.78
AL,Baldwin,01003,1980,22.96,129.44,89.00,53.84
AL,Baldwin,01003,1981,-15.20,109.77,75.48,45.65
AL,Baldwin,01003,1982,0.89,110.74,76.15,46.06
AL,Baldwin,01003,1983,26.72,140.33,96.49,58.36
AL,Baldwin,01003,1984,-2.78,136.42,93.80,56.74
AL,Baldwin,01003,1985,1.53,138.52,95.24,57.61
AL,Baldwin,01003,1986,-1.28,136.74,94.02,56.87
AL,Baldwin,01003,1987,0.41,137.30,94.40,57.10
AL,Baldwin,01003,1988,1.00,138.67,95.35,57.68
AL,Baldwin,01003,1989,2.54,142.19,97.77,59.14
AL,Baldwin,01003,1990,2.28,145.44,100.00,60.49
AL,Baldwin,01003,1991,3.63,150.72,103.63,62.68
AL,Baldwin,01003,1992,4.26,157.13,108.04,65.35
AL,Baldwin,01003,1993,8.19,170.01,116.89,70.71
AL,Baldwin,01003,1994,6.94,181.82,125.01,75.62
AL,Baldwin,01003,1995,8.08,196.51,135.12,81.73
AL,Baldwin,01003,1996,3.28,202.96,139.55,84.41
AL,Baldwin,01003,1997,6.48,216.10,148.59,89.88
AL,Baldwin,01003,1998,4.53,225.89,155.32,93.95
AL,Baldwin,01003,1999,2.73,232.05,159.55,96.51
AL,Baldwin,01003,2000,3.61,240.44,165.32,100.00
AL,Baldwin,01003,2001,4.58,251.45,172.89,104.58
AL,Baldwin,01003,2002,1.61,255.49,175.67,106.26
AL,Baldwin,01003,2003,3.28,263.86,181.43,109.74
AL,Baldwin,01003,2004,4.46,275.62,189.51,114.63
