"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Alabama,AL,01,1975,.,100.00,50.11,36.65,
Alabama,AL,01,1976,5.68,105.68,52.95,38.73,
Alabama,AL,01,1977,10.38,116.65,58.45,42.75,
Alabama,AL,01,1978,8.16,126.16,63.22,46.23,
Alabama,AL,01,1979,11.27,140.39,70.34,51.45,
Alabama,AL,01,1980,4.75,147.06,73.69,53.89,
Alabama,AL,01,1981,4.65,153.89,77.11,56.40,
Alabama,AL,01,1982,0.00,153.89,77.11,56.40,
Alabama,AL,01,1983,4.59,160.95,80.65,58.98,
Alabama,AL,01,1984,5.29,169.47,84.92,62.10,
Alabama,AL,01,1985,2.71,174.06,87.22,63.79,
Alabama,AL,01,1986,4.48,181.86,91.12,66.65,
Alabama,AL,01,1987,3.47,188.18,94.29,68.96,
Alabama,AL,01,1988,2.58,193.02,96.72,70.74,
Alabama,AL,01,1989,1.66,196.23,98.33,71.91,
Alabama,AL,01,1990,1.70,199.57,100.00,73.14,
Alabama,AL,01,1991,2.25,204.07,102.25,74.78,
Alabama,AL,01,1992,2.64,209.46,104.96,76.76,
Alabama,AL,01,1993,3.11,215.98,108.22,79.15,
Alabama,AL,01,1994,3.36,223.24,111.86,81.81,
Alabama,AL,01,1995,4.09,232.37,116.43,85.15,
Alabama,AL,01,1996,3.34,240.12,120.32,88.00,
Alabama,AL,01,1997,3.64,248.86,124.70,91.20,
Alabama,AL,01,1998,3.65,257.96,129.25,94.53,
Alabama,AL,01,1999,2.49,264.37,132.47,96.88,
Alabama,AL,01,2000,3.22,272.88,136.73,100.00,
Alabama,AL,01,2001,4.00,283.81,142.21,104.00,
Alabama,AL,01,2002,2.04,289.59,145.11,106.13,
Alabama,AL,01,2003,2.12,295.74,148.19,108.38,
Alabama,AL,01,2004,3.19,305.18,152.92,111.84,
Alabama,AL,01,2005,6.53,325.11,162.90,119.14,
Alabama,AL,01,2006,7.68,350.06,175.40,128.28,
Alabama,AL,01,2007,4.02,364.13,182.45,133.44,
Alabama,AL,01,2008,0.72,366.76,183.77,134.40,
Alabama,AL,01,2009,-2.48,357.64,179.20,131.06,
Alabama,AL,01,2010,-4.38,341.99,171.36,125.33,
Alabama,AL,01,2011,-3.52,329.94,165.32,120.91,
Alabama,AL,01,2012,-1.57,324.77,162.73,119.01,
Alabama,AL,01,2013,-0.73,322.38,161.53,118.14,
Alabama,AL,01,2014,1.29,326.54,163.62,119.67,
