State Indexes for Houses not in Metropolitan Statistical Areas,,,,
,,,,
State,Year,Quarter,Index,Standard Error
AK,1995,1,100.00,(0.00)
AK,1995,2,104.06,(1.79)
AK,1995,3,102.50,(1.47)
AK,1995,4,103.88,(1.63)
AK,1996,1,108.14,(1.57)
AK,1996,2,108.10,(1.58)
AK,1996,3,109.31,(1.68)
AK,1996,4,110.75,(1.81)
AK,1997,1,109.66,(1.90)
AK,1997,2,110.68,(1.71)
AK,1997,3,112.47,(1.78)
AK,1997,4,112.59,(1.78)
AK,1998,1,111.01,(1.55)
AK,1998,2,112.12,(1.58)
AK,1998,3,114.24,(1.69)
AK,1998,4,113.21,(1.56)
AK,1999,1,112.72,(1.62)
AK,1999,2,116.78,(1.77)
AK,1999,3,117.32,(1.83)
AK,1999,4,116.30,(2.03)
AK,2000,1,117.44,(2.10)
AK,2000,2,117.67,(1.86)
AK,2000,3,116.57,(1.90)
AK,2000,4,118.22,(1.93)
AK,2001,1,120.27,(1.88)
AK,2001,2,122.14,(1.72)
AK,2001,3,122.20,(1.72)
AK,2001,4,121.78,(1.63)
AK,2002,1,122.39,(1.66)
AK,2002,2,125.80,(1.78)
AK,2002,3,124.60,(1.69)
AK,2002,4,124.30,(1.64)
AK,2003,1,125.13,(1.67)
AK,2003,2,127.23,(1.69)
AK,2003,3,128.04,(1.71)
AK,2003,4,132.54,(1.87)
AK,2004,1,132.68,(1.90)
AK,2004,2,138.47,(1.96)
AK,2004,3,142.05,(2.07)
AK,2004,4,142.64,(2.12)
AK,2005,1,147.16,(2.19)
AK,2005,2,153.08,(2.20)
AK,2005,3,158.50,(2.29)
AK,2005,4,164.94,(2.38)
AK,2006,1,166.79,(2.49)
AK,2006,2,171.05,(2.49)
AK,2006,3,174.05,(2.48)
AK,2006,4,177.23,(2.56)
AK,2007,1,178.48,(2.59)
AK,2007,2,181.23,(2.53)
AK,2007,3,181.27,(2.55)
AK,2007,4,183.06,(2.62)
AK,2008,1,181.35,(2.50)
AK,2008,2,182.87,(2.56)
AK,2008,3,181.00,(2.57)
AK,2008,4,180.35,(2.58)
AK,2009,1,182.80,(2.46)
AK,2009,2,180.16,(2.43)
AK,2009,3,178.95,(2.56)
AK,2009,4,180.56,(2.56)
AK,2010,1,174.77,(2.53)
AK,2010,2,178.93,(2.59)
AK,2010,3,180.30,(2.53)
AK,2010,4,178.94,(2.46)
AK,2011,1,181.95,(2.61)
AK,2011,2,182.67,(2.68)
AK,2011,3,179.63,(2.58)
AK,2011,4,184.63,(2.56)
AK,2012,1,183.27,(2.62)
AK,2012,2,183.79,(2.65)
AK,2012,3,184.88,(2.62)
AK,2012,4,187.46,(2.64)
AK,2013,1,189.34,(2.69)
AK,2013,2,189.78,(2.75)
AK,2013,3,191.02,(2.88)
AK,2013,4,189.69,(3.02)
AK,2014,1,187.18,(3.07)
AK,2014,2,193.70,(3.03)
AK,2014,3,195.50,(3.08)
AK,2014,4,196.30,(3.12)
AK,2015,1,198.07,(3.16)
AK,2015,2,201.84,(3.29)
AK,2015,3,203.51,(3.27)
AK,2015,4,204.12,(3.42)
AK,2016,1,203.25,(3.43)
AK,2016,2,207.28,(3.26)
AK,2016,3,211.24,(3.23)
AK,2016,4,208.82,(3.33)
AK,2017,1,206.55,(3.71)
AK,2017,2,209.04,(3.64)
AK,2017,3,215.03,(3.72)
AK,2017,4,216.57,(3.64)
AK,2018,1,219.27,(3.98)
AK,2018,2,219.48,(3.92)
AK,2018,3,223.17,(4.27)
AK,2018,4,222.66,(4.88)
AK,2019,1,212.68,(4.85)
AL,1995,1,100.00,(0.00)
AL,1995,2,101.27,(1.20)
AL,1995,3,104.30,(1.13)
AL,1995,4,106.06,(1.20)
AL,1996,1,108.49,(1.15)
AL,1996,2,106.87,(1.18)
AL,1996,3,107.53,(1.22)
AL,1996,4,110.22,(1.22)
AL,1997,1,110.26,(1.25)
AL,1997,2,111.72,(1.22)
AL,1997,3,111.65,(1.20)
AL,1997,4,115.88,(1.25)
AL,1998,1,118.32,(1.18)
AL,1998,2,119.43,(1.21)
AL,1998,3,120.70,(1.22)
AL,1998,4,121.73,(1.20)
AL,1999,1,121.78,(1.22)
AL,1999,2,122.18,(1.25)
AL,1999,3,122.18,(1.28)
AL,1999,4,124.02,(1.33)
AL,2000,1,125.07,(1.31)
