Table 4,,,,,,,,,,,,,,,,,,,
"Single-Family Mortgages Outstanding, 1990 - 2011 Q2 ",,,,,,,,,,,,,,,,,,,
"Government-Backed and Conventional Mortgages, by Loan Type",,,,,,,,,,,,,,,,,,,
($ Millions),,,,,,,,,,,,,,,,,,,
, Single-Family Mortgages,Single-Family ARMs,Single-Family FRMs,Conventional Mortgages,Conventional ARMs,Conventional FRMs,Government-Backed,Government-Backed ARMs,Government-Backed FRMs,,,,,,,,,,
1990,"$2,606,304","$222,955","$2,383,349","$2,166,765","$218,116","$1,948,649","$439,539","$4,839","$434,700",,,,,,,,,,
1991,"$2,774,317","$239,473","$2,534,844","$2,309,730","$232,494","$2,077,236","$464,587","$6,979","$457,608",,,,,,,,,,
1992,"$2,941,747","$264,675","$2,677,072","$2,482,015","$250,144","$2,231,871","$459,732","$14,531","$445,201",,,,,,,,,,
1993,"$3,100,671","$425,388","$2,675,283","$2,651,109","$396,547","$2,254,562","$449,562","$28,841","$420,721",,,,,,,,,,
1994,"$3,277,919","$470,132","$2,807,787","$2,792,970","$419,153","$2,373,817","$484,949","$50,979","$433,970",,,,,,,,,,
1995,"$3,445,383","$527,585","$2,917,798","$2,932,384","$463,232","$2,469,152","$512,999","$64,353","$448,646",,,,,,,,,,
1996,"$3,668,416","$566,470","$3,101,946","$3,115,616","$491,584","$2,624,032","$552,800","$74,886","$477,914",,,,,,,,,,
1997,"$3,902,568","$519,066","$3,383,502","$3,295,723","$430,392","$2,865,331","$606,845","$88,674","$518,171",,,,,,,,,,
1998,"$4,259,017","$580,526","$3,678,491","$3,624,650","$509,263","$3,115,387","$634,367","$71,263","$563,104",,,,,,,,,,
1999,"$4,683,043","$657,343","$4,025,621","$3,991,203","$595,887","$3,395,316","$691,761","$61,456","$630,305",,,,,,,,,,
2000,"$5,106,580","$673,158","$4,433,379","$4,363,188","$613,464","$3,749,724","$743,349","$59,694","$683,655",,,,,,,,,,
2001,"$5,658,549","$728,594","$4,929,907","$4,903,101","$678,099","$4,225,002","$755,400","$50,495","$704,905",,,,,,,,,,
2002,"$6,413,247","$837,723","$5,575,462","$5,673,407","$793,710","$4,879,697","$739,778","$44,013","$695,765",,,,,,,,,,
2003,"$7,240,069","$1,274,320","$5,948,020","$6,551,460","$1,231,019","$5,320,441","$670,880","$43,301","$627,579",,,,,,,,,,
2004,"$8,271,414","$1,813,570","$6,433,586","$7,618,168","$1,762,082","$5,856,086","$628,988","$51,488","$577,500",,,,,,,,,,
2005,"$9,386,635","$2,332,686","$7,023,075","$8,779,877","$2,288,914","$6,490,963","$575,884","$43,772","$532,112",,,,,,,,,,
2006,"$10,458,168","$2,599,704","$7,816,032","$9,853,943","$2,565,967","$7,287,976","$561,793","$33,737","$528,056",,,,,,,,,,
2007,"$11,169,427","$2,486,279","$8,625,209","$10,520,410","$2,459,672","$8,060,738","$591,078","$26,607","$564,471",,,,,,,,,,
2008,"$11,068,190","$2,345,349","$8,810,151","$10,207,703","$2,163,012","$8,044,691","$792,261","$26,801","$765,460",,,,,,,,,,
2009,"$10,867,662","$1,979,001","$8,975,805","$9,788,444","$1,782,476","$8,005,968","$997,179","$27,342","$969,837",,,,,,,,,,
2010,"$10,524,042","$1,560,621","$8,963,421","$9,310,850","$1,520,462","$7,790,388","$1,213,191","$40,159","$1,173,032",,,,,,,,,,
2011 Q1,"$10,449,675","$1,500,463","$8,949,212","$9,190,134","$1,455,717","$7,734,416","$1,259,541","$44,746","$1,214,795",,,,,,,,,,
2011 Q2,"$10,395,472","$1,479,688","$8,915,784","$9,091,249","$1,430,963","$7,660,287","$1,304,223","$48,726","$1,255,497",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source: ,"FHFA based on data from the Department of Housing and Urban Development, the Federal Housing Administration (FHA), the Department of Veterans Affairs (VA), the Rural Housing Service (RHS), and the Board of Governors of the Federal Reserve System.  For an explanation of the methodology used to develop the estimates, see: Pafenberg, F. (2005) Single-Family Mortgages Originated and Outstanding:  1990 – 2004. For an update of certain of the assumptions made in that paper, see http://www.fhfa.gov/webfiles/22739/Updated_assumptions_2011_Q2_110211.pdf.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Link to assumptions:  http://www.fhfa.gov/webfiles/22739/Updated_assumptions_2011_Q2_110211.pdf,,,,,,,,,,,,,,,,,,
,Link to Single-Family Mortgages Originated and Outstanding:  1990 - 2004: http://www.fhfa.gov/webfiles/1151/mortmarket1990to2004.pdf ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
