All-Transactions House Price Index for Manufactured Homes,,,
"Note: This index is experimental in nature. The manufactured homes data include information for homes titled as real estate and not chattel. Details concerning the index construction can be found in the Highlights article for the 2018Q2 HPI release. FHFA is still considering whether to update the measures in the future and future revisions may reflect modeling and data filtering refinements. If the experimental data are revised, the updates may not be published with the same regularity as FHFA’s standard monthly and quarterly house price indexes. Comments, questions, and suggestions should be addressed to hpihelpdesk@fhfa.gov.",,,
,,,
area,year,qtr,index_at_manu
USA,1995,1,100.00
USA,1995,2,109.64
USA,1995,3,100.66
USA,1995,4,103.39
USA,1996,1,105.60
USA,1996,2,106.12
USA,1996,3,112.50
USA,1996,4,112.67
USA,1997,1,115.77
USA,1997,2,117.49
USA,1997,3,116.80
USA,1997,4,121.09
USA,1998,1,119.60
USA,1998,2,122.29
USA,1998,3,120.62
USA,1998,4,118.67
USA,1999,1,123.90
USA,1999,2,129.69
USA,1999,3,129.48
USA,1999,4,134.71
USA,2000,1,135.13
USA,2000,2,130.53
USA,2000,3,132.09
USA,2000,4,135.22
USA,2001,1,138.46
USA,2001,2,139.43
USA,2001,3,137.52
USA,2001,4,139.43
USA,2002,1,140.51
USA,2002,2,141.19
USA,2002,3,141.16
USA,2002,4,143.57
USA,2003,1,145.44
USA,2003,2,144.60
USA,2003,3,149.69
USA,2003,4,154.34
USA,2004,1,151.15
USA,2004,2,155.80
USA,2004,3,158.62
USA,2004,4,163.61
USA,2005,1,166.38
USA,2005,2,173.99
USA,2005,3,182.71
USA,2005,4,189.47
USA,2006,1,194.09
USA,2006,2,196.94
USA,2006,3,198.08
USA,2006,4,197.62
USA,2007,1,202.27
USA,2007,2,203.43
USA,2007,3,197.59
USA,2007,4,196.65
USA,2008,1,195.94
USA,2008,2,191.02
USA,2008,3,187.92
USA,2008,4,180.23
USA,2009,1,187.58
USA,2009,2,181.38
USA,2009,3,174.04
USA,2009,4,171.97
USA,2010,1,167.71
USA,2010,2,159.18
USA,2010,3,162.10
USA,2010,4,162.74
USA,2011,1,155.84
USA,2011,2,149.08
USA,2011,3,147.40
USA,2011,4,148.68
USA,2012,1,147.57
USA,2012,2,131.95
USA,2012,3,137.00
USA,2012,4,138.83
USA,2013,1,141.33
USA,2013,2,139.73
USA,2013,3,142.13
USA,2013,4,143.87
USA,2014,1,143.29
USA,2014,2,152.38
USA,2014,3,154.41
USA,2014,4,156.65
USA,2015,1,156.55
USA,2015,2,163.11
USA,2015,3,167.67
USA,2015,4,168.37
USA,2016,1,167.97
USA,2016,2,175.60
USA,2016,3,178.32
USA,2016,4,181.83
USA,2017,1,186.10
USA,2017,2,192.08
USA,2017,3,200.79
USA,2017,4,202.47
USA,2018,1,203.86
USA,2018,2,209.95
