01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
05.Jan.1990W,91.7,80.2,158.7,9.76
12.Jan.1990W,95.8,83.3,168.1,9.83
19.Jan.1990W,111.1,101.2,168.3,9.93
26.Jan.1990W,108.3,104.9,128.1,10.24
02.Feb.1990W,97.6,95.3,110.7,10.29
09.Feb.1990W,95.1,93.2,106.1,10.00
16.Feb.1990W,91.8,93.4,82.2,10.15
23.Feb.1990W,119.1,118.8,121.1,10.08
02.Mar.1990W,93.3,95.5,80.4,10.19
09.Mar.1990W,91.1,88.7,105.1,10.25
16.Mar.1990W,88.6,86.7,100.0,10.18
23.Mar.1990W,93.7,94.3,90.1,10.25
30.Mar.1990W,97.2,96.2,102.7,10.20
06.Apr.1990W,87.6,86.7,92.4,10.19
13.Apr.1990W,111.5,114.2,95.4,10.25
20.Apr.1990W,81.2,81.2,81.0,10.49
27.Apr.1990W,82.3,82.9,78.7,10.56
04.May.1990W,79.7,81.5,68.8,10.40
11.May.1990W,84.8,85.8,78.7,10.20
18.May.1990W,83.8,85.2,75.7,10.26
25.May.1990W,87.0,89.5,72.9,10.21
01.Jun.1990W,98.5,101.1,83.1,9.97
08.Jun.1990W,97.9,99.8,86.9,9.88
15.Jun.1990W,91.3,91.8,87.9,9.97
22.Jun.1990W,79.8,81.5,69.9,9.96
29.Jun.1990W,83.8,85.8,72.0,9.94
06.Jul.1990W,96.4,98.4,85.3,9.92
13.Jul.1990W,83.6,84.2,80.3,9.84
20.Jul.1990W,87.9,86.5,96.2,9.88
27.Jul.1990W,86.6,85.5,93.4,9.69
03.Aug.1990W,100.6,93.6,141.6,9.75
10.Aug.1990W,112.3,102.6,168.7,10.00
17.Aug.1990W,85.5,82.3,104.2,9.96
24.Aug.1990W,92.5,90.7,102.8,10.19
31.Aug.1990W,78.8,76.7,90.9,9.98
07.Sep.1990W,75.8,76.0,74.8,9.83
14.Sep.1990W,83.3,82.9,85.8,9.88
21.Sep.1990W,80.3,81.9,70.6,10.21
28.Sep.1990W,81.9,81.0,86.9,10.19
05.Oct.1990W,82.4,81.3,88.7,9.98
12.Oct.1990W,84.3,83.6,88.8,10.22
19.Oct.1990W,64.2,63.4,69.1,10.18
26.Oct.1990W,72.2,71.5,76.3,9.98
02.Nov.1990W,79.8,79.8,79.8,9.96
09.Nov.1990W,82.2,82.0,83.7,9.95
16.Nov.1990W,81.9,79.6,95.2,9.84
23.Nov.1990W,78.2,75.5,93.6,9.75
30.Nov.1990W,94.3,92.3,106.1,9.80
07.Dec.1990W,94.9,88.7,130.9,9.50
14.Dec.1990W,102.9,92.9,161.1,9.47
21.Dec.1990W,91.1,80.5,152.9,9.50
28.Dec.1990W,68.0,53.5,152.7,9.57
04.Jan.1991W,91.6,67.2,233.8,9.47
11.Jan.1991W,128.0,108.0,244.8,9.74
18.Jan.1991W,107.1,92.4,192.6,9.69
25.Jan.1991W,95.0,81.9,171.1,9.46
01.Feb.1991W,91.1,77.8,168.9,9.38
08.Feb.1991W,102.7,84.4,208.9,9.27
15.Feb.1991W,112.3,92.0,230.5,9.18
22.Feb.1991W,179.3,141.0,401.9,9.23
01.Mar.1991W,145.5,108.0,363.7,9.62
08.Mar.1991W,141.8,96.1,407.3,9.21
15.Mar.1991W,147.3,103.3,403.3,9.48
22.Mar.1991W,148.3,118.4,322.0,9.53
29.Mar.1991W,165.2,147.2,270.0,9.48
05.Apr.1991W,132.6,105.5,290.2,9.41
12.Apr.1991W,136.0,112.4,272.8,9.50
19.Apr.1991W,125.1,113.2,194.7,9.55
26.Apr.1991W,127.2,116.9,187.4,9.50
03.May.1991W,116.7,106.7,175.0,9.48
10.May.1991W,127.1,113.3,207.3,9.52
17.May.1991W,130.1,117.7,202.5,9.52
24.May.1991W,127.7,119.8,173.4,9.49
31.May.1991W,141.2,129.1,211.8,9.40
07.Jun.1991W,136.8,128.2,186.8,9.67
14.Jun.1991W,119.6,109.7,177.1,9.64
21.Jun.1991W,115.3,107.1,163.0,9.66
28.Jun.1991W,115.8,110.5,146.8,9.64
05.Jul.1991W,125.6,121.6,148.6,9.66
12.Jul.1991W,116.3,111.9,141.8,9.55
19.Jul.1991W,138.7,130.2,188.3,9.56
26.Jul.1991W,108.7,103.8,137.1,9.42
02.Aug.1991W,111.4,105.2,147.0,9.32
09.Aug.1991W,114.6,101.7,189.8,9.24
16.Aug.1991W,119.6,100.3,232.1,9.17
23.Aug.1991W,141.8,108.5,335.1,9.17
30.Aug.1991W,136.8,110.6,289.2,9.17
06.Sep.1991W,129.4,104.8,272.9,9.09
13.Sep.1991W,140.2,109.1,321.1,8.95
20.Sep.1991W,146.4,102.7,400.6,8.81
27.Sep.1991W,159.2,111.0,439.4,8.85
04.Oct.1991W,164.4,104.7,511.8,8.77
